@relation ant-ivy_developer_last_label

@attribute 'Modify Lines' numeric
@attribute 'Add Lines' numeric
@attribute 'Delete Lines' numeric
@attribute 'Distribution modified Lines' numeric
@attribute numOfBIC numeric
@attribute fileAge numeric
@attribute SumOfSourceRevision numeric
@attribute SumOfDeveloper numeric
@attribute CommitHour numeric
@attribute AGE numeric
@attribute numOfSubsystems numeric
@attribute numOfDirectories numeric
@attribute numOfFiles numeric
@attribute NUC numeric
@attribute developerExperience numeric
@attribute REXP numeric
@attribute LT numeric
@attribute isBuggy {clean,buggy}

@data
4,0.006369,0.006369,1,1,8,3,2,11,6,1,56,135,0.066667,8,8,314,clean
8,0.0625,0.0625,1,0,0,2,2,18,0,1,56,135,0.007407,4,4,64,clean
36,0.01292,0.018088,11,2,55,6,5,13,11,2,77,275,0.050909,13,13,1161,clean
4,0.03125,0.03125,1,0,20,4,4,13,11,2,77,275,0.050909,13,13,64,clean
2,0.001309,0.001309,0,0,0,2,2,18,0,1,56,135,0.007407,4,4,764,clean
4,0.031746,0.031746,1,0,0,1,1,11,0,1,56,135,0.066667,8,8,63,clean
9,0.011921,0,1,4,43,6,3,10,3,1,16,35,0.2,5,5,755,buggy
6,0.014286,0.014286,1,0,0,1,1,15,0,2,38,132,0.068182,5,5,210,clean
9,0.005882,0.047059,0,2,158,3,2,12,152,1,7,14,0.571429,31,31,170,clean
12,0.032609,0.097826,1,2,169,6,5,18,134,2,26,62,0.33871,13,13,92,buggy
4,0.03125,0.03125,1,0,8,2,2,11,8,1,56,135,0.066667,8,8,64,clean
4,0.002646,0.002646,0,4,48,12,4,11,9,2,49,138,0.07971,21,21,756,buggy
6,0.012097,0.012097,2,1,8,3,2,11,6,1,56,135,0.066667,8,8,248,clean
2,0.028571,0.028571,0,1,710,2,2,22,710,3,88,504,0.126984,1,1,35,clean
25,0.14881,0,0,0,0,1,1,16,0,1,1,1,1,3,3,168,clean
8,0.007968,0.007968,0,0,0,1,1,11,0,1,37,83,0.036145,5,5,502,clean
52,0.121076,0.112108,8,1,18,4,3,13,11,2,77,275,0.050909,13,13,223,clean
12,0.059406,0.059406,3,1,12,4,3,0,0,1,4,37,0.081081,18,18,101,buggy
7,0.057971,0.043478,1,0,0,1,1,15,0,2,38,132,0.068182,5,5,69,clean
10,0.026178,0.026178,0,1,7,5,2,18,0,1,56,135,0.007407,4,4,191,clean
5,0.044444,0.066667,0,1,6,3,2,8,6,1,8,9,0.333333,10,10,45,buggy
44,0.040367,0.040367,6,2,35,6,4,17,14,1,9,39,0.076923,19,19,545,buggy
4,0.00813,0.02439,0,1,9,3,3,16,2,1,53,186,0.016129,4,4,123,buggy
5,0.017964,0.011976,2,1,0,1,1,16,0,1,53,186,0.016129,4,4,167,buggy
107,0.046957,0.046087,8,7,203,11,7,18,110,2,26,62,0.33871,13,13,1150,buggy
5,0.005208,0.003472,2,1,18,4,3,13,11,2,77,275,0.050909,13,13,576,clean
2,0.017857,0.017857,0,2,696,3,3,22,562,3,88,504,0.126984,1,1,56,clean
3,0.005013,0.002506,1,4,258,7,5,10,89,1,7,13,0.692308,17,9.5,399,buggy
2,0.015152,0.015152,0,1,562,2,2,22,562,3,88,504,0.126984,1,1,66,clean
50,0.328947,0.328947,0,1,12,7,3,13,1,2,77,275,0.050909,13,13,76,clean
136,0.103986,0.131716,18,2,33,5,3,18,14,1,23,69,0.043478,20,20,577,buggy
4,0.001247,0.001247,1,5,485,18,7,20,0,1,1,2,1,25,17.5,1604,clean
3,0.046154,0,0,5,293,10,4,12,1,2,6,15,0.466667,45,28.5,65,clean
4,0.055556,0.055556,1,0,0,2,2,18,0,1,56,135,0.007407,4,4,36,clean
2,0.007194,0.007194,0,2,729,8,5,22,275,3,88,504,0.126984,1,1,139,clean
3,0.010101,0.020202,1,1,0,1,1,16,0,1,53,186,0.016129,4,4,99,buggy
14,0.170732,0.170732,0,1,0,1,1,11,0,2,49,138,0.07971,21,21,41,buggy
2,0.018519,0.018519,0,1,279,3,3,11,260,1,2,2,1,40,23.5,54,clean
11,0.122449,0.102041,0,1,10,4,2,19,3,1,12,12,0.25,12,12,49,clean
2,0.006173,0.006173,0,3,196,5,3,7,27,1,19,25,0.6,33,33,162,clean
2,0.02439,0.02439,0,1,689,2,2,22,689,3,88,504,0.126984,1,1,41,clean
17,0.031949,0.022364,4,1,20,5,3,13,17,2,77,275,0.050909,13,13,313,clean
6,0.005894,0.005894,2,2,41,5,3,11,20,2,49,138,0.07971,21,21,509,buggy
2,0.012987,0.012987,0,0,0,2,2,18,0,1,56,135,0.007407,4,4,77,clean
16,0.020468,0.002924,1,8,265,19,5,10,86,1,7,13,0.692308,17,9.5,684,buggy
2,0.002809,0.002809,0,2,729,8,4,22,562,3,88,504,0.126984,1,1,356,clean
2,0.010204,0.010204,0,0,0,1,1,11,0,1,56,135,0.066667,8,8,98,clean
5,0.072464,0,0,1,8,3,2,11,6,1,56,135,0.066667,8,8,69,clean
1,0.029412,0,0,0,0,1,1,15,0,2,38,132,0.068182,5,5,34,clean
14,0.07,0.07,3,1,6,3,1,11,6,1,56,135,0.066667,8,8,100,clean
9,0.135135,0.108108,0,0,10,3,2,19,10,1,12,12,0.25,12,12,37,clean
2,0.014706,0.014706,0,1,729,4,3,22,710,3,88,504,0.126984,1,1,68,clean
14,0.095652,0.026087,3,0,0,1,1,11,0,1,4,4,0.5,1,1,115,clean
12,0.057851,0.041322,1,1,0,1,1,16,0,1,53,186,0.016129,4,4,121,buggy
104,0.029582,0.045455,15,3,42,8,3,18,14,1,23,69,0.043478,20,20,1386,buggy
2,0.006757,0.006757,0,4,729,7,4,22,351,3,88,504,0.126984,1,1,148,clean
7,0.007813,0.005859,2,1,20,4,3,13,18,2,77,275,0.050909,13,13,512,clean
2,0.000725,0.000725,0,10,729,19,4,22,296,3,88,504,0.126984,1,1,1379,clean
6,0.016393,0.016393,2,1,0,2,1,14,0,1,1,1,1,3,3,183,clean
4,0.001493,0.001493,1,5,230,10,5,7,27,1,19,25,0.6,33,33,1340,clean
2,0.008929,0.008929,0,2,731,4,4,22,685,3,88,504,0.126984,1,1,112,clean
2,0.017241,0.017241,0,0,731,4,4,22,710,3,88,504,0.126984,1,1,58,clean
2,0.034483,0.034483,0,0,0,1,1,22,0,3,88,504,0.126984,1,1,29,clean
2,0.029412,0.029412,0,0,150,4,4,21,138,1,16,32,0.15625,9,9,34,clean
10,0.024272,0.024272,2,1,0,1,1,16,0,1,53,186,0.016129,4,4,206,buggy
3,0.011111,0.022222,0,1,0,1,1,16,0,1,53,186,0.016129,4,4,90,buggy
2,0.017544,0.017544,0,1,7,3,2,18,0,1,56,135,0.007407,4,4,57,clean
11,0.012623,0.002805,2,1,7,5,2,18,0,1,56,135,0.007407,4,4,713,clean
2,0.002865,0.002865,0,1,2,2,2,16,2,1,53,186,0.016129,4,4,349,buggy
10,0.009615,0.086538,0,2,32,5,3,11,21,2,49,138,0.07971,21,21,104,buggy
2,0.006734,0,1,0,0,1,1,15,0,2,38,132,0.068182,5,5,297,clean
21,0.017162,0.006865,6,1,2,3,2,11,0,1,37,83,0.036145,5,5,874,clean
8,0.011662,0.011662,3,1,8,3,2,11,6,1,56,135,0.066667,8,8,343,clean
103,0.046073,0.06178,29,1,2,2,2,16,2,1,53,186,0.016129,4,4,955,buggy
4,0.029412,0.009804,1,0,0,1,1,11,0,1,56,135,0.066667,8,8,102,clean
2,0.001689,0.001689,0,1,7,3,2,18,0,1,56,135,0.007407,4,4,592,clean
0,0,0,0,1,0,1,1,8,0,1,8,9,0.333333,10,10,51,buggy
30,0.099291,0.113475,5,1,18,3,2,13,18,2,77,275,0.050909,13,13,141,clean
2,0.003236,0.003236,0,4,169,8,4,19,110,1,2,2,1,19,19,309,clean
8,0.072727,0.072727,0,0,0,1,1,15,0,2,38,132,0.068182,5,5,55,clean
34,0.045822,0.045822,9,2,35,6,4,18,14,1,23,69,0.043478,20,20,371,buggy
2,0.028571,0.028571,0,0,0,1,1,15,0,2,38,132,0.068182,5,5,35,clean
217,0.303636,0.090909,9,5,479,10,6,23,285,1,1,1,1,9,7.5,550,clean
18,0.09,0.09,3,0,12,3,3,13,11,2,77,275,0.050909,13,13,100,clean
2,0.004651,0.004651,0,1,731,6,5,22,696,3,88,504,0.126984,1,1,215,clean
2,0.009615,0.009615,0,3,294,7,4,19,235,1,6,8,0.625,43,26.5,104,clean
2,0.041667,0.041667,0,0,572,2,2,22,572,3,88,504,0.126984,1,1,24,clean
16,0.014963,0.024938,1,2,21,5,3,0,0,1,4,37,0.081081,18,18,401,buggy
2,0.02439,0.02439,0,0,731,2,2,22,731,3,88,504,0.126984,1,1,41,clean
1,0,0.001678,0,5,292,14,5,19,0,1,6,8,0.625,43,26.5,596,clean
2,0.006897,0.006897,0,2,731,7,5,22,689,3,88,504,0.126984,1,1,145,clean
2,0.006993,0.006993,0,3,731,6,5,22,685,3,88,504,0.126984,1,1,143,clean
2,0.00152,0.00152,0,5,314,17,6,13,10,1,1,1,1,51,34.5,658,clean
4,0.045455,0.045455,1,0,12,3,3,13,11,2,77,275,0.050909,13,13,44,clean
11,0.013605,0.061224,0,1,0,1,1,16,0,1,53,186,0.016129,4,4,147,buggy
3,0.00627,0.003135,1,2,193,7,5,11,135,1,1,1,1,28,28,319,clean
10,0.075758,0.075758,1,2,18,3,1,0,9,1,5,30,0.133333,17,17,66,buggy
2,0.008547,0.008547,0,1,731,6,5,22,537,3,88,504,0.126984,1,1,117,clean
2,0.013699,0.013699,0,1,0,1,1,16,0,1,53,186,0.016129,4,4,73,buggy
2,0.013699,0.013699,0,1,7,3,2,18,0,1,56,135,0.007407,4,4,73,clean
5,0.007813,0.005208,0,6,169,10,4,15,60,2,9,13,0.846154,24,24,384,clean
2,0.041667,0.041667,0,0,0,1,1,22,0,3,88,504,0.126984,1,1,24,clean
2,0.002132,0.002132,0,3,39,9,3,11,6,2,49,138,0.07971,21,21,469,buggy
2,0.013158,0.013158,0,0,0,1,1,22,0,3,88,504,0.126984,1,1,76,clean
8,0.022727,0.037879,1,1,0,1,1,0,0,1,4,37,0.081081,18,18,132,buggy
2,0.021739,0.021739,0,1,689,2,2,22,689,3,88,504,0.126984,1,1,46,clean
2,0.003125,0.003125,0,0,9,3,3,18,0,1,56,135,0.007407,4,4,320,clean
2,0.014706,0,1,4,250,5,3,12,37,2,6,15,0.466667,45,28.5,136,clean
6,0.022901,0.022901,1,2,19,4,2,0,0,1,4,37,0.081081,18,18,131,buggy
2,0.002762,0.002762,0,4,731,9,6,22,296,3,88,504,0.126984,1,1,362,clean
2,0.028571,0.028571,0,0,0,1,1,22,0,3,88,504,0.126984,1,1,35,clean
2,0.034483,0.034483,0,0,0,1,1,22,0,3,88,504,0.126984,1,1,29,clean
2,0.007353,0.007353,0,3,731,8,5,22,562,3,88,504,0.126984,1,1,136,clean
9,0.001151,0.009206,0,4,193,10,5,12,103,1,7,14,0.571429,31,31,869,clean
4,0.002037,0.002037,1,2,732,8,6,11,1,1,7,8,0.125,32,15,982,clean
2,0.016393,0.016393,0,0,0,1,1,22,0,3,88,504,0.126984,1,1,61,clean
2,0.002667,0.002667,0,5,735,17,8,22,351,3,88,504,0.126984,1,1,375,clean
15,0.02,0.0175,4,1,20,4,3,13,18,2,77,275,0.050909,13,13,400,clean
2,0.027778,0.027778,0,1,731,3,3,22,685,3,88,504,0.126984,1,1,36,clean
6,0.005051,0.010101,1,3,58,6,3,5,23,1,25,48,0.1875,24,24,396,buggy
4,0.009569,0.009569,0,3,74,7,4,21,53,1,5,6,0.666667,26,26,209,buggy
2,0.017241,0.017241,0,0,731,2,2,22,731,3,88,504,0.126984,1,1,58,clean
3,0.001244,0.000622,1,3,95,10,4,11,18,1,1,2,1,23,23,1608,clean
4,0.002556,0,1,1,8,5,3,11,4,1,56,135,0.066667,8,8,1565,clean
6,0.066667,0.066667,1,0,0,1,1,11,0,1,56,135,0.066667,8,8,45,clean
20,0.047619,0.025641,5,4,400,6,3,23,206,1,2,3,1,1,1,273,clean
16,0.038835,0.038835,6,1,0,2,1,11,0,1,37,83,0.036145,5,5,206,clean
6,0.035294,0.035294,2,0,0,2,2,18,0,1,56,135,0.007407,4,4,85,clean
10,0.142857,0.142857,0,1,159,3,2,21,75,1,16,32,0.15625,9,9,35,clean
2,0.045455,0.045455,0,0,0,1,1,22,0,3,88,504,0.126984,1,1,22,clean
3,0.007519,0.015038,1,2,134,3,2,21,0,1,16,22,0.454545,21,21,133,clean
22,0.048035,0.048035,10,1,9,4,3,18,0,1,56,135,0.007407,4,4,229,clean
66,0.073286,0.082742,10,2,41,5,3,11,20,2,49,138,0.07971,21,21,423,buggy
6,0.003927,0.003927,2,5,167,8,4,21,0,1,11,13,0.538462,20,20,764,clean
4,0.005525,0.005525,1,1,6,2,1,11,6,1,56,135,0.066667,8,8,362,clean
14,0.066116,0.049587,1,1,18,4,3,13,11,2,77,275,0.050909,13,13,121,clean
1,0.022222,0,0,0,0,1,1,15,0,2,38,132,0.068182,5,5,45,clean
2,0.004808,0.004808,0,4,167,5,3,10,111,1,11,15,0.6,22,22,208,buggy
6,0.023256,0.023256,0,1,20,5,4,0,0,1,5,30,0.133333,17,17,129,buggy
5,0.004808,0.019231,0,1,0,1,1,11,0,2,49,138,0.07971,21,21,208,buggy
6,0.032609,0.032609,2,2,39,3,2,11,20,2,49,138,0.07971,21,21,92,buggy
6,0.025424,0.025424,0,1,9,4,3,18,0,1,56,135,0.007407,4,4,118,clean
2,0.011765,0.011765,0,1,0,1,1,16,0,1,53,186,0.016129,4,4,85,buggy
6,0.027027,0.027027,2,1,0,1,1,16,0,1,53,186,0.016129,4,4,111,buggy
2,0.008547,0.008547,0,1,193,5,4,11,172,1,2,2,1,29,29,117,clean
6,0.014706,0.014706,2,0,9,3,3,18,0,1,56,135,0.007407,4,4,204,clean
2,0.032258,0.032258,0,0,0,1,1,21,0,1,16,32,0.15625,9,9,31,clean
14,0.098592,0.098592,0,0,0,2,2,18,0,1,56,135,0.007407,4,4,71,clean
17,0.099338,0.013245,1,3,293,10,6,12,37,1,1,1,1,41,24.5,151,clean
2,0.004367,0.004367,0,1,2,2,2,16,2,1,53,186,0.016129,4,4,229,buggy
14,0.05,0.05,6,1,6,2,1,11,6,1,56,135,0.066667,8,8,140,clean
12,0.08,0.08,0,1,0,1,1,18,0,2,26,62,0.33871,13,13,75,buggy
13,0.024096,0.028112,1,2,169,7,5,21,110,1,16,22,0.454545,21,21,249,clean
6,0.007212,0.007212,2,0,12,3,3,13,11,2,77,275,0.050909,13,13,416,clean
3,0.006897,0.013793,0,5,58,8,3,5,16,1,25,48,0.1875,24,24,145,buggy
2,0.006993,0.006993,0,3,45,5,4,10,10,1,16,35,0.2,5,5,143,buggy
6,0.005714,0.002857,0,1,8,6,3,11,4,1,56,135,0.066667,8,8,700,clean
2,0.02,0.02,0,1,729,3,3,22,710,3,88,504,0.126984,1,1,50,clean
2,0.001965,0.001965,0,2,731,6,4,22,689,3,88,504,0.126984,1,1,509,clean
16,0.022923,0.022923,6,1,20,5,4,13,11,2,77,275,0.050909,13,13,349,clean
22,0.024291,0.005398,3,8,315,16,7,16,84,1,1,1,1,21,13.5,741,clean
74,0.890244,0.012195,0,2,435,9,6,23,266,1,2,3,1,1,1,82,clean
4,0.027778,0.083333,0,1,35,2,2,18,35,1,23,69,0.043478,20,20,36,buggy
3,0.005128,0.010256,0,2,58,3,2,5,23,1,25,48,0.1875,24,24,195,buggy
2,0.032258,0.032258,0,0,0,1,1,22,0,3,88,504,0.126984,1,1,31,clean
2,0.002092,0.002092,0,4,729,12,6,22,562,3,88,504,0.126984,1,1,478,clean
9,0.135135,0.108108,0,0,10,4,2,10,0,2,19,19,0.315789,6,6,37,clean
2,0.002732,0.002732,0,4,731,11,6,22,478,3,88,504,0.126984,1,1,366,clean
2,0.005435,0.005435,0,1,731,3,3,22,709,3,88,504,0.126984,1,1,184,clean
2,0.017857,0.017857,0,1,696,2,2,22,696,3,88,504,0.126984,1,1,56,clean
