@relation incubator-hivemall_Concat_Single_LSTM_Metric_last_label

@attribute 'Modify Lines' numeric
@attribute 'Add Lines' numeric
@attribute 'Delete Lines' numeric
@attribute 'Distribution modified Lines' numeric
@attribute numOfBIC numeric
@attribute fileAge numeric
@attribute SumOfSourceRevision numeric
@attribute SumOfDeveloper numeric
@attribute CommitHour numeric
@attribute AGE numeric
@attribute numOfSubsystems numeric
@attribute numOfDirectories numeric
@attribute numOfFiles numeric
@attribute NUC numeric
@attribute developerExperience numeric
@attribute REXP numeric
@attribute LT numeric
@attribute 'LSTM C.E.' numeric
@attribute isBuggy {buggy,clean}

@data
12,0.013699,0.013699,1,3,189,3,1,20,107,2,12,20,0.3,20,20,438,2.337705,buggy
2,0.002564,0.002564,0,1,0,1,1,6,0,1,25,67,0.059701,1,1,390,2.477916,buggy
3,0.011905,0.02381,0,1,0,1,1,15,0,6,82,248,0.120968,39,25,84,2.229902,buggy
44,0.10929,0.131148,5,1,0,1,1,6,0,1,25,67,0.059701,1,1,183,2.477916,buggy
3,0.010526,0.005263,0,3,27,3,2,20,20,3,22,37,0.297297,8,8,190,2.95405,buggy
5,0.010526,0.042105,0,5,67,7,3,15,0,1,1,6,0.333333,6,6,95,2.796491,clean
11,0.029126,0.024272,2,1,0,1,1,15,0,6,82,248,0.120968,39,25,206,2.229902,buggy
35,0.2,0,3,1,0,1,1,19,0,1,3,7,0.285714,3,3,175,7.504166,buggy
4,0.00823,0.00823,0,2,131,2,2,20,131,3,22,37,0.297297,8,8,243,2.95405,buggy
274,0.556025,0.023256,5,2,0,2,2,16,0,1,2,2,1,34,20,473,13.127958,buggy
2,0.00304,0.00304,0,7,422,7,2,18,40,2,19,48,0.083333,41,27,329,3.518396,buggy
23,0.034623,0.01222,4,3,437,5,2,19,133,1,1,1,1,46,32,491,2.918326,buggy
2,0.001441,0.001441,0,1,0,1,1,6,0,1,25,67,0.059701,1,1,694,2.477916,buggy
4,0.014925,0.014925,0,1,0,1,1,15,0,6,82,248,0.120968,39,25,134,2.229902,buggy
43,0.038851,0.033784,8,4,286,5,4,15,13,6,82,248,0.120968,39,25,592,2.229902,buggy
14,0.466667,0,1,1,0,1,1,16,0,1,10,11,0.090909,1,1,30,3.336799,buggy
19,0.279412,0,1,1,0,1,1,19,0,1,3,7,0.285714,3,3,68,7.504165,buggy
11,0.098039,0.117647,1,1,0,1,1,20,0,3,22,37,0.297297,8,8,51,2.95405,buggy
54,0.066066,0.096096,3,2,9,2,2,23,9,1,1,3,0.333333,2,2,333,2.531828,buggy
31,0.083333,0.088889,4,3,228,3,2,15,13,6,82,248,0.120968,39,25,180,2.229902,buggy
6,0.01875,0.01875,1,1,304,2,1,15,304,6,82,248,0.120968,39,25,160,2.229902,buggy
2,0.004149,0.004149,0,5,435,5,1,18,119,1,1,3,0.333333,43,29,241,2.878404,buggy
3,0.005208,0.002604,0,6,465,7,4,15,130,6,82,248,0.120968,39,25,384,2.229902,buggy
8,0.013468,0,0,1,0,1,1,14,0,1,9,31,0.193548,1,1,594,3.088599,buggy
3,0.024096,0.012048,0,2,65,2,1,15,65,6,82,248,0.120968,39,25,83,2.229902,buggy
50,0.2,0.017391,4,3,674,4,2,5,351,2,4,5,0.6,75,39.833332,230,2.901831,clean
15,0.15625,0.3125,1,1,0,1,1,6,0,1,25,67,0.059701,1,1,32,2.477916,buggy
4,0.007905,0.007905,0,0,0,1,1,12,0,1,1,1,1,1,1,253,2.390698,clean
372,0.4714,0.262327,17,1,0,1,1,6,0,1,25,67,0.059701,1,1,507,2.477916,buggy
24,0.02521,0.02521,7,1,0,1,1,22,0,1,3,4,1,9,9,476,2.70206,buggy
3,0.005376,0.002688,0,2,323,2,2,15,323,6,82,248,0.120968,39,25,372,2.229902,buggy
16,0.031373,0.031373,2,5,316,5,2,15,184,6,82,248,0.120968,39,25,255,2.229902,buggy
20,0.005405,0.048649,1,1,0,1,1,16,0,4,15,19,0.368421,29,15,370,2.701045,buggy
155,0.556034,0.112069,7,1,0,1,1,14,0,1,13,38,0.236842,13,13,232,3.606278,buggy
20,0.044944,0,1,2,566,3,2,19,559,1,4,12,0.833333,61,47,445,2.797129,clean
3,0.01,0.02,0,2,295,2,1,15,295,6,82,248,0.120968,39,25,100,2.229902,buggy
3,0.01,0.005,0,4,316,4,1,15,184,6,82,248,0.120968,39,25,200,2.229902,buggy
6,0.030534,0.015267,1,1,0,1,1,15,0,6,82,248,0.120968,39,25,131,2.229902,buggy
21,0.066667,0.041026,4,2,13,2,2,15,13,6,82,248,0.120968,39,25,195,2.229902,buggy
2,0.004673,0.004673,0,1,0,1,1,14,0,1,9,31,0.193548,1,1,214,3.088599,buggy
