@relation gora_Master_NGLP_Metric_last_label

@attribute 'Modify Lines' numeric
@attribute 'Add Lines' numeric
@attribute 'Delete Lines' numeric
@attribute 'Distribution modified Lines' numeric
@attribute numOfBIC numeric
@attribute fileAge numeric
@attribute SumOfSourceRevision numeric
@attribute SumOfDeveloper numeric
@attribute CommitHour numeric
@attribute AGE numeric
@attribute numOfSubsystems numeric
@attribute numOfDirectories numeric
@attribute numOfFiles numeric
@attribute NUC numeric
@attribute developerExperience numeric
@attribute REXP numeric
@attribute LT numeric
@attribute NGLP numeric
@attribute isBuggy {buggy,clean}

@data
12,0.006731,0.004808,2,1,1,2,1,13,1,1,1,1,1,2,2,1040,0.148442,buggy
9,0.003806,0.004757,0,5,778,20,6,18,12,14,20,25,0.36,4,4,1051,3.584963,clean
5,0.064103,0,0,1,0,2,1,10,0,1,2,5,0.2,9,9,78,36.026624,clean
68,0.055985,0.07529,10,2,43,3,1,10,4,12,18,24,0.041667,15,10,518,0,buggy
80,1.213115,0.098361,1,1,0,1,1,22,0,1,3,9,0.333333,8,8,61,0.578334,buggy
4,0.010417,0.010417,0,1,771,10,4,17,20,13,36,47,0.085106,10,5.166666,192,0,clean
4,0.002252,0.002252,1,4,660,11,6,19,0,1,1,1,1,17,12.166666,888,0.296885,clean
7,0.2,0.15,0,1,0,1,1,23,0,1,8,22,0.318182,17,17,20,0,buggy
8,0.025078,0,0,2,2,3,1,0,0,1,1,1,1,10,10,319,51.168557,clean
0,0,0,0,1,308,3,3,16,289,14,42,54,0.185185,16,11,20,3.459432,clean
13,0.007865,0.006742,2,10,453,25,6,16,1,2,2,4,0.75,21,16,890,39.050492,buggy
2,0.003704,0.003704,0,3,103,10,3,14,1,2,2,2,1,6,6,270,0,clean
25,0.017206,0.008097,1,0,0,1,1,8,0,1,1,2,0.5,1,1,988,5.551378,clean
204,0.107682,0.026264,93,0,11,2,1,21,11,1,4,6,0.166667,14,14,1523,0,clean
28,0.25641,0.102564,3,1,0,2,1,23,0,1,2,4,0.75,5,5,78,22.87113,buggy
3,0,0.022388,0,0,5,2,2,1,5,2,14,24,0.125,4,4,134,224.387941,clean
153,0.302548,0.184713,8,1,39,2,1,10,39,13,25,35,0.057143,14,9,314,3.459432,clean
352,17.947369,0.578947,0,2,11,2,1,20,11,1,2,3,0.666667,6,6,19,272.393305,buggy
1,0,0.004098,0,8,47,12,2,0,8,1,6,18,0.444444,12,12,244,0,clean
100,0.515464,0.515464,0,2,15,3,2,2,0,1,1,1,1,2,2,97,62.77402,clean
171,0.082677,0.253937,8,3,469,10,5,0,26,1,1,1,1,44,39.166668,508,23.174373,clean
55,0.018078,0.034253,10,3,378,8,2,10,4,12,18,24,0.041667,15,10,1051,0,buggy
2,0.009009,0.009009,0,3,271,13,5,17,12,6,8,10,0.1,9,9,111,0,clean
3,0.037975,0,1,0,4,2,1,15,4,10,20,36,0.138889,21,16.166666,79,1102.769933,clean
13,0.02551,0.007653,2,1,0,1,1,14,0,2,3,4,0.5,19,14,392,0,buggy
2,0.05,0.05,0,0,0,1,1,23,0,1,4,9,0.333333,14,14,20,0,clean
7,0.190476,0.142857,0,1,0,1,1,23,0,1,8,22,0.318182,17,17,21,0,buggy
18,0.115385,0.115385,0,2,2,3,1,14,2,11,14,16,0.125,3,3,78,5.704799,clean
1,0,0.004425,0,9,47,13,2,0,3,1,6,18,0.444444,12,12,226,0,clean
36,0.212598,0.070866,3,0,0,1,1,22,0,1,1,8,0.125,1,1,127,81.021891,clean
31,0.131034,0.082759,4,5,23,7,1,23,2,1,8,22,0.318182,17,17,145,0,buggy
23,0.088123,0,1,3,617,10,6,10,26,14,19,24,0.166667,47,42.166668,261,29.880444,clean
30,0.071429,0.0625,7,1,175,5,3,10,37,13,25,35,0.057143,14,9,224,3.459432,clean
67,0.048463,0.030733,14,0,0,1,1,12,0,1,1,2,0.5,3,3,846,278.4828,clean
113,0.661417,0.228346,2,1,0,1,1,19,0,1,1,4,0.75,11,11,127,176.620527,buggy
16,0.025765,0,0,4,46,8,3,10,2,14,19,24,0.166667,47,42.166668,621,29.880444,clean
25,0.157895,0.061404,5,0,0,1,1,22,0,1,1,8,0.125,1,1,114,81.021891,clean
55,0.018078,0.034253,10,3,437,11,4,0,27,12,18,24,0.208333,5,5,1051,0,clean
