@relation camel_Concat_Single_LSTM_Metric_last_label

@attribute 'Modify Lines' numeric
@attribute 'Add Lines' numeric
@attribute 'Delete Lines' numeric
@attribute 'Distribution modified Lines' numeric
@attribute numOfBIC numeric
@attribute fileAge numeric
@attribute SumOfSourceRevision numeric
@attribute SumOfDeveloper numeric
@attribute CommitHour numeric
@attribute AGE numeric
@attribute numOfSubsystems numeric
@attribute numOfDirectories numeric
@attribute numOfFiles numeric
@attribute NUC numeric
@attribute developerExperience numeric
@attribute REXP numeric
@attribute LT numeric
@attribute 'LSTM C.E.' numeric
@attribute isBuggy {buggy,clean}

@data
2,0.007813,0.007813,0,7,643,11,5,11,19,5,23,30,0.4,66,66,128,15.494778,buggy
7,0.005,0.00375,1,6,111,7,3,9,2,1,5,12,0.833333,876,645,800,15.354612,buggy
5,0.033784,0,0,5,547,9,6,10,5,2,287,282,0.170213,309,273,148,15.330916,buggy
2,0.005464,0.005464,0,2,13,2,1,13,13,4,11,18,0.277778,34,34,183,15.490611,buggy
4,0.003413,0.003413,0,2,3,2,1,2,3,3,15,22,0.409091,18,18,586,15.527193,buggy
16,0.108844,0,0,1,403,2,2,21,403,7,1736,7872,0.132495,145,57.666668,147,15.559785,clean
5,0.083333,0,0,5,436,5,3,10,123,2,337,351,0.150997,103,55,60,15.517751,buggy
58,0.074627,0.098507,24,1,0,1,1,12,0,2,2,296,0.003378,1121,814,335,15.282371,buggy
2,0.00625,0.00625,0,4,639,7,4,21,24,7,1736,7872,0.132495,145,57.666668,160,15.559785,clean
2,0.034483,0.034483,0,1,30,2,2,14,30,1,1,7,0.428571,820,513,29,15.559785,clean
4,0.042553,0.042553,1,1,0,1,1,10,0,7,817,2007,0.159442,43,43,47,15.534164,buggy
4,0.013889,0.013889,1,2,188,3,3,16,188,1,79,133,0.338346,35,26,144,15.534164,buggy
0,0,0,0,1,0,1,1,8,0,2,122,1710,0.001754,137,88.5,80,15.404661,buggy
103,0.065554,0.057211,16,31,25,36,3,9,0,1,2,3,1,969,738,839,13.973427,buggy
4,0.005731,0.005731,1,0,9,2,2,22,9,1,2,3,1,1,1,349,15.463699,clean
2,0.000611,0.000611,0,1,0,3,1,17,0,5,36,59,0.694915,3,3,1638,15.535929,buggy
1,0.026316,0,0,1,0,1,1,10,0,1,5,28,0.107143,1,1,38,15.027545,buggy
2,0.030303,0.030303,0,1,160,2,2,8,160,2,7,11,0.454545,647,416,33,15.431745,buggy
2,0.002681,0.002681,0,1,42,2,2,21,42,7,1736,7872,0.132495,145,57.666668,373,15.559785,clean
0,0,0,0,1,0,1,1,8,0,2,122,1710,0.001754,137,88.5,29,15.404661,buggy
38,0.213675,0.111111,4,3,3,4,1,12,0,3,295,304,0.013158,122,122,117,13.101707,buggy
2,0.005236,0.005236,0,1,0,1,1,23,0,1,1,2,1,93,93,191,14.837017,buggy
2,0.022222,0.022222,0,1,232,2,1,11,232,2,20,47,0.234043,704,704,45,15.482987,clean
6,0.032,0.016,0,5,588,5,3,19,0,2,4,8,0.375,2,2,125,15.387513,buggy
12,0.017647,0.017647,4,5,843,9,7,15,100,2,2,3,0.666667,36,33,340,15.550225,clean
2,0.004785,0.004785,0,2,44,4,3,10,13,1,1,1,1,1,1,209,15.535928,clean
2,0.008403,0.008403,0,4,372,4,3,10,327,7,817,2007,0.159442,43,43,119,15.534164,buggy
2,0.002028,0.002028,0,5,326,9,4,21,24,7,1736,7872,0.132495,145,57.666668,493,15.559785,clean
15,0.026549,0.039823,3,1,21,2,2,17,21,2,178,337,0.338279,39,39,226,15.312501,buggy
0,0,0,0,1,0,1,1,12,0,1,8,58,0.051724,714,483,38,15.482987,buggy
0,0,0,0,1,0,1,1,11,0,4,57,302,0.056291,187,138.5,135,15.527193,buggy
2,0.00495,0.00495,0,0,0,1,1,22,0,2,23,28,0.571429,23,19,202,15.523878,clean
25,0.046512,0.147287,3,5,124,9,4,18,1,1,293,302,0.006623,121,121,129,15.458453,clean
34,0.4,0.025,2,1,46,2,2,12,46,3,212,210,0.061905,221,221,80,15.316384,buggy
8,0.012987,0.012987,1,3,0,3,1,10,0,1,2,5,1,583,583,308,15.36522,buggy
2,0.00885,0.00885,0,1,111,4,3,10,5,1,282,487,0.002053,44,44,113,15.559785,clean
2,0.008696,0.008696,0,0,0,1,1,21,0,7,1736,7872,0.132495,145,57.666668,115,15.559785,clean
0,0,0,0,1,0,1,1,8,0,2,122,1710,0.001754,137,88.5,98,15.404661,buggy
6,0.012788,0.002558,0,2,22,2,2,12,22,1,1,1,1,2,2,391,15.504837,buggy
2,0.014493,0.014493,0,4,608,4,3,10,544,7,817,2007,0.159442,43,43,69,15.534164,buggy
3,0.002294,0.004587,0,3,656,6,4,20,35,3,47,59,0.491525,128,79.5,436,15.534164,buggy
3,0.000546,0.000273,0,21,633,25,10,20,2,4,40,96,0.364583,36,36,3663,15.479375,buggy
5,0.012019,0,0,3,426,5,3,10,75,2,287,282,0.170213,309,273,416,15.330915,buggy
2,0.018182,0.018182,0,2,426,3,3,13,0,1,30,30,0.066667,392,302,55,15.482987,clean
11,0.007065,0,2,0,0,1,1,11,0,1,1,1,1,211,211,1557,15.283366,clean
38,0.215517,0.112069,4,6,124,11,5,12,0,3,295,304,0.013158,122,122,116,13.101707,buggy
2,0.000907,0.000907,0,3,1,3,1,11,0,2,2,146,0.006849,1123,816,1102,15.534164,buggy
3,0.024194,0,0,9,720,9,5,10,21,2,337,351,0.150997,103,55,124,15.517751,buggy
0,0,0,0,1,0,1,1,8,0,2,122,1710,0.001754,137,88.5,39,15.404661,buggy
2,0.00076,0.00076,0,12,639,17,9,10,1,7,817,2007,0.159442,43,43,1315,15.534164,buggy
1,0,0.000874,0,8,547,17,7,14,0,2,17,16,0.0625,310,274,1144,15.417657,clean
2,0.004739,0.004739,0,4,496,6,3,17,176,5,227,243,0.341564,98,50.5,211,15.538558,buggy
2,0.003676,0,1,1,0,1,1,18,0,1,10,65,0.092308,195,195,544,15.559785,buggy
36,0.013636,0.013636,1,7,509,8,5,8,19,1,46,234,0.32906,438,348,1320,15.527193,buggy
4,0.010471,0.010471,0,2,2,3,2,10,1,2,2,296,0.016892,221,172.5,191,15.43585,clean
4,0.051282,0.051282,0,2,0,2,1,16,0,1,4,18,0.111111,3,3,39,14.990602,buggy
2,0.022222,0.022222,0,1,0,1,1,10,0,7,817,2007,0.159442,43,43,45,15.534164,buggy
129,0.296569,0.019608,7,1,0,1,1,13,0,1,3,3,0.333333,759,759,408,15.09319,buggy
29,0.103093,0.046392,5,1,29,2,2,9,29,1,2,2,1,893,662,194,15.44404,clean
17,0.010593,0.025424,2,4,286,6,3,15,23,2,3,10,0.7,13,13,472,15.304782,buggy
94,0.565657,0.383838,1,2,121,5,3,18,9,3,294,601,0.016639,116,116,99,12.80057,buggy
4,0.001466,0.001466,1,7,614,11,5,10,8,6,277,499,0.330661,26,26,1364,15.496853,buggy
7,0.004975,0.006633,1,4,249,6,4,9,115,1,1,1,1,1,1,603,15.438364,clean
10,0.007391,0,0,5,422,8,4,21,164,2,3,6,0.833333,40,22.5,1353,15.246922,buggy
4,0.0625,0.0625,1,1,0,1,1,12,0,1,8,22,0.227273,364,364,32,15.435142,buggy
14,0.054264,0.054264,0,3,30,5,3,17,1,1,292,301,0.006645,119,119,129,15.418018,buggy
2,0.006024,0.006024,0,1,42,2,2,21,42,7,1736,7872,0.132495,145,57.666668,166,15.559785,clean
4,0.003745,0.003745,1,4,116,5,3,11,15,1,15,20,0.25,809,578,534,15.524831,buggy
103,0.053571,0.559524,3,4,263,6,3,19,9,1,3,3,1,26,14.333333,168,15.387257,buggy
0,0,0,0,1,0,1,1,8,0,2,122,1710,0.001754,137,88.5,22,15.404661,buggy
2,0.02439,0.02439,0,1,42,2,2,21,42,7,1736,7872,0.132495,145,57.666668,41,15.559785,clean
26,0.136842,0.136842,2,2,144,4,3,14,9,1,2,4,0.5,1077,846,95,15.528829,clean
1,0.000438,0,0,24,415,29,6,18,186,3,3,5,0.8,196,160,2285,15.517751,buggy
24,0.007519,0.082707,0,3,305,4,4,10,4,6,277,499,0.330661,26,26,266,15.496853,buggy
25,0.046512,0.147287,3,2,18,5,3,18,1,1,293,302,0.006623,121,121,129,15.458453,clean
3,0.020408,0,0,2,31,2,2,9,31,1,2,4,0.5,635,404,147,14.807352,buggy
2,0.034483,0.034483,0,1,672,2,2,21,672,7,1736,7872,0.132495,145,57.666668,29,15.559785,clean
30,0.035176,0.002513,4,1,0,1,1,10,0,7,817,2007,0.159442,43,43,796,15.534164,buggy
9,0.01374,0,2,1,0,1,1,9,0,1,3,3,0.333333,9,9,655,15.077763,buggy
0,0,0,0,1,0,1,1,8,0,2,122,1710,0.001754,137,88.5,39,15.404661,buggy
2,0.020833,0.020833,0,0,51,2,2,12,51,1,2,22,0.045455,1049,742,48,15.506834,clean
2,0.001608,0.001608,0,8,441,10,4,16,153,2,6,23,0.521739,38,29,622,15.424427,buggy
0,0,0,0,0,0,1,1,17,0,2,261,443,0.002257,8,8,111,15.527193,clean
5,0.05618,0,0,2,298,2,2,10,298,2,287,282,0.170213,309,273,89,15.330915,buggy
2,0.004878,0.004878,0,3,640,5,4,21,277,7,1736,7872,0.132495,145,57.666668,205,15.559785,clean
34,0.4,0.025,2,1,46,2,2,12,46,3,212,210,0.061905,221,221,80,15.316385,buggy
2,0.008403,0.008403,0,1,0,1,1,16,0,5,44,400,0.015,44,44,119,15.518443,buggy
40,0.367647,0.220588,2,1,0,1,1,12,0,1,1,2,0.5,10,10,68,14.874519,buggy
2,0.018519,0.018519,0,0,0,1,1,21,0,7,1736,7872,0.132495,145,57.666668,54,15.559785,clean
2,0.011905,0.011905,0,2,105,4,3,13,13,1,285,493,0.018256,65,65,84,15.559785,clean
15,0.164835,0,1,1,46,2,2,12,46,3,212,210,0.061905,221,221,91,15.316385,buggy
2,0.030303,0.030303,0,1,0,1,1,13,0,1,3,9,0.222222,518,428,33,15.437221,buggy
2,0.016949,0.016949,0,2,105,4,3,13,13,1,285,493,0.018256,65,65,59,15.559785,clean
2,0.003846,0.003846,0,2,145,4,4,23,18,1,58,267,0.404494,20,11,260,15.535929,buggy
19,0.069231,0.076923,0,3,78,5,2,8,1,3,132,162,0.049383,157,108.5,130,15.182953,clean
5,0,0.050505,0,5,838,8,8,7,41,2,197,199,0.075377,768,537,99,15.36579,buggy
2,0.004808,0.004808,0,1,0,1,1,12,0,2,71,82,0.097561,66,66,208,15.499701,buggy
2,0.025,0.025,0,1,42,2,2,21,42,7,1736,7872,0.132495,145,57.666668,40,15.559785,clean
2,0.002342,0.002342,0,8,80,13,3,11,0,1,1,1,1,762,531,427,15.534164,clean
94,0.486726,0.345133,1,2,121,5,3,18,9,3,294,601,0.016639,116,116,113,12.800571,buggy
0,0,0,0,1,0,1,1,8,0,2,122,1710,0.001754,137,88.5,88,15.404661,buggy
4,0.037037,0.037037,1,1,0,1,1,12,0,1,4,22,0.045455,1,1,54,15.517751,buggy
8,0,0.129032,1,3,78,4,3,18,2,1,5,46,0.130435,180,131.5,62,15.471335,buggy
14,0.017136,0,1,3,0,3,1,18,0,3,3,5,0.4,207,207,817,15.346819,buggy
50,0.026738,0.240642,4,7,113,9,2,15,0,2,8,10,0.6,211,162.5,187,15.450731,buggy
2,0.00885,0.00885,0,1,105,3,2,13,13,1,285,493,0.018256,65,65,113,15.559785,clean
18,0.098901,0.098901,1,0,0,1,1,14,0,1,1,4,0.25,1,1,91,15.482063,clean
2,0.014925,0.014925,0,4,791,8,5,21,243,7,1736,7872,0.132495,145,57.666668,67,15.559785,clean
5,0.010526,0,4,10,162,12,7,14,7,2,2,2,1,591,591,475,15.375305,clean
0,0,0,0,1,0,1,1,11,0,6,34,181,0.066298,107,58.5,187,15.477655,buggy
5,0.005571,0.008357,1,21,702,29,8,8,104,6,153,288,0.246528,126,77.5,359,15.527193,buggy
17,0.025487,0,1,1,209,2,2,17,209,2,4,5,0.8,227,191,667,15.123507,buggy
2,0.008772,0.008772,0,1,111,4,3,10,5,1,282,487,0.002053,44,44,114,15.559785,clean
2,0.005587,0.005587,0,2,608,2,2,10,608,7,817,2007,0.159442,43,43,179,15.534164,buggy
2,0.009709,0.009709,0,0,0,1,1,21,0,7,1736,7872,0.132495,145,57.666668,103,15.559785,clean
4,0.05,0.05,0,0,0,1,1,17,0,1,2,4,0.5,59,59,40,15.509906,clean
4,0.019231,0.019231,1,1,0,1,1,14,0,3,16,24,0.125,25,25,104,15.506503,buggy
319,0.905556,0.866667,0,1,119,2,2,22,119,1,4,13,0.384615,1,1,180,14.480158,buggy
2,0.045455,0.045455,0,0,0,1,1,21,0,7,1736,7872,0.132495,145,57.666668,22,15.559785,clean
2,0.002123,0.002123,0,1,42,3,3,21,32,7,1736,7872,0.132495,145,57.666668,471,15.559785,clean
18,0.068182,0.068182,8,1,0,1,1,12,0,2,2,296,0.003378,1121,814,132,15.282371,buggy
14,0.05303,0.05303,0,2,17,4,3,17,1,1,292,301,0.006645,119,119,132,15.418018,buggy
16,0.4,0.4,1,0,0,1,1,15,0,1,7,23,0.043478,1,1,20,15.262233,clean
2,0.017544,0.017544,0,3,138,4,2,14,15,1,1,2,1,731,424,57,15.534164,clean
35,0.283582,0.238806,2,1,0,1,1,16,0,2,15,35,0.085714,138,138,67,15.223776,buggy
33,0.111111,0.003472,7,9,48,11,3,21,2,2,4,5,0.6,9,9,288,15.517751,buggy
0,0,0,0,1,0,1,1,11,0,6,34,181,0.066298,107,58.5,234,15.477655,buggy
15,0.084746,0,0,2,0,2,1,11,0,1,2,3,0.333333,8,8,177,15.517808,buggy
4,0.039216,0.039216,0,1,162,2,2,11,162,1,6,6,0.166667,2,2,51,15.441906,clean
5,0.017123,0,0,6,459,9,5,10,5,2,287,282,0.170213,309,273,292,15.330916,buggy
0,0,0,0,1,0,1,1,16,0,5,44,400,0.015,44,44,22,15.518443,buggy
1,0,0.006536,0,1,0,1,1,18,0,1,10,65,0.092308,195,195,153,15.559785,buggy
2,0.007353,0.007353,0,1,111,4,3,10,5,1,282,487,0.002053,44,44,136,15.559785,clean
2,0.004762,0.004762,0,3,105,5,3,13,13,1,285,493,0.018256,65,65,210,15.559785,clean
2,0.003448,0.003448,0,6,312,10,7,19,0,1,1,1,1,83,36.166668,290,15.535929,clean
2,0.02,0.02,0,0,0,1,1,21,0,7,1736,7872,0.132495,145,57.666668,50,15.559785,clean
2,0.001333,0.001333,0,10,686,12,5,17,22,5,227,243,0.341564,98,50.5,750,15.538558,buggy
13,0.236364,0,1,3,736,4,3,11,66,2,288,290,0.072414,867,636,55,15.282952,buggy
6,0.043478,0.043478,1,0,0,1,1,12,0,1,1,2,1,11,11,69,15.508482,clean
2,0.005155,0.005155,0,6,707,6,3,17,99,5,227,243,0.341564,98,50.5,194,15.538558,buggy
2,0.007092,0.007092,0,0,0,1,1,21,0,7,1736,7872,0.132495,145,57.666668,141,15.559785,clean
2,0.012346,0.012346,0,0,0,1,1,21,0,7,1736,7872,0.132495,145,57.666668,81,15.559785,clean
19,0.069231,0.076923,0,2,84,3,2,17,77,1,85,91,0.10989,152,103.5,130,15.534164,buggy
25,0.046512,0.147287,3,5,124,9,4,18,1,1,293,302,0.006623,121,121,129,15.458453,clean
2,0,0.025,0,2,454,2,2,17,454,2,178,337,0.338279,39,39,80,15.312501,buggy
17,0.080808,0.005051,2,5,13,5,2,13,0,3,31,36,0.166667,42,42,198,15.260727,buggy
49,0.065375,0.053269,0,12,255,14,1,22,0,3,4,2,0.5,720,720,413,15.043066,clean
2,0.006897,0.006897,0,6,136,8,4,21,26,3,113,142,0.521127,34,30,145,15.517751,buggy
2,0.007813,0.007813,0,9,791,15,5,21,24,7,1736,7872,0.132495,145,57.666668,128,15.559785,clean
6,0.055556,0.055556,0,0,0,2,1,9,0,1,1,6,0.333333,477,477,54,15.537706,clean
3,0.014815,0.007407,1,2,263,7,5,6,5,1,3,3,0.666667,891,660,135,15.527193,clean
5,0.011407,0.007605,0,3,250,7,5,17,114,2,5,15,0.333333,717,717,263,15.477529,clean
