@relation deltaspike_Master_NGLP_Metric_last_label

@attribute 'Modify Lines' numeric
@attribute 'Add Lines' numeric
@attribute 'Delete Lines' numeric
@attribute 'Distribution modified Lines' numeric
@attribute numOfBIC numeric
@attribute fileAge numeric
@attribute SumOfSourceRevision numeric
@attribute SumOfDeveloper numeric
@attribute CommitHour numeric
@attribute AGE numeric
@attribute numOfSubsystems numeric
@attribute numOfDirectories numeric
@attribute numOfFiles numeric
@attribute NUC numeric
@attribute developerExperience numeric
@attribute REXP numeric
@attribute LT numeric
@attribute NGLP numeric
@attribute isBuggy {clean,buggy}

@data
0,0,0,0,0,0,1,1,21,0,1,3,7,0.142857,19,10.5,54,0,clean
9,0.024024,0.003003,0,1,0,1,1,20,0,1,3,3,0.666667,4,4,333,13.738513,buggy
3,0,0.026786,1,2,3,2,1,14,3,1,1,4,0.5,4,4,112,10.532521,buggy
23,0.575,0,0,0,0,1,1,17,0,1,1,1,1,1,1,40,15.704512,clean
18,0.5,0,0,0,0,1,1,22,0,1,1,1,1,2,2,36,24.789932,clean
17,0.133333,0.028571,1,1,0,1,1,20,0,1,7,11,0.090909,15,15,105,173.235055,buggy
2,0.01105,0,0,4,20,5,2,21,16,1,6,10,0.3,1,1,181,0,buggy
171,0.85625,0.2125,3,0,0,1,1,11,0,1,3,3,0.666667,2,2,160,9.668885,clean
23,0.884615,0,0,0,0,1,1,11,0,1,1,1,1,4,4,26,181.188099,clean
4,0.02381,0.007937,0,0,0,1,1,16,0,1,3,3,0.666667,22,13.5,126,8.931722,clean
4,0.018519,0.006173,0,0,0,2,1,20,0,1,1,1,1,34,18.5,162,10.018548,clean
8,0.035714,0.021429,1,2,159,3,2,10,110,1,4,5,0.6,1,1,140,0,clean
15,0.051095,0.058394,2,1,0,1,1,2,0,1,9,25,0.04,1,1,137,3.67697,buggy
2,0.003584,0.003584,0,0,6,2,1,17,6,1,2,4,0.75,6,6,279,0,clean
6,0.00726,0.00363,0,3,14,5,2,12,0,1,1,1,1,5,5,551,10.174818,clean
35,0.135593,0.457627,0,0,36,3,2,22,30,1,1,3,1,15,7.5,59,10.677127,clean
11,0.000812,0.008123,1,3,23,4,1,22,2,1,1,1,1,15,15,1231,0,clean
11,0.055046,0.045872,1,3,4,3,1,17,1,1,2,3,1,12,12,109,0,buggy
6,0.009434,0.001887,1,6,239,9,2,14,22,1,1,1,1,28,28,530,-0,buggy
4,0.017857,0.017857,1,1,0,1,1,2,0,1,9,25,0.04,1,1,112,3.67697,buggy
6,0.089552,0,2,0,14,6,1,13,0,1,1,1,1,12,12,67,8.515978,clean
4,0.027397,0.027397,1,1,0,1,1,2,0,1,9,25,0.04,1,1,73,3.67697,buggy
20,0.063584,0.052023,1,2,0,2,1,16,0,1,4,5,0.4,7,7,173,0,buggy
5,0.011848,0,0,0,0,1,1,17,0,1,1,1,1,11,11,422,4.403048,clean
2,0.002041,0.002041,0,0,231,2,2,10,231,1,4,5,0.6,1,1,490,0,clean
