@relation crunch_Concat_Single_LSTM_Metric_last_label

@attribute 'Modify Lines' numeric
@attribute 'Add Lines' numeric
@attribute 'Delete Lines' numeric
@attribute 'Distribution modified Lines' numeric
@attribute numOfBIC numeric
@attribute fileAge numeric
@attribute SumOfSourceRevision numeric
@attribute SumOfDeveloper numeric
@attribute CommitHour numeric
@attribute AGE numeric
@attribute numOfSubsystems numeric
@attribute numOfDirectories numeric
@attribute numOfFiles numeric
@attribute NUC numeric
@attribute developerExperience numeric
@attribute REXP numeric
@attribute LT numeric
@attribute 'LSTM C.E.' numeric
@attribute isBuggy {clean,buggy}

@data
5,0.006466,0.00431,0,0,0,1,1,14,0,1,2,3,0.333333,1,1,464,18.477776,clean
2,0.025,0.025,0,0,0,1,1,16,0,1,2,10,0.1,3,3,40,18.494093,clean
4,0.015873,0.015873,1,0,0,1,1,16,0,1,2,10,0.1,3,3,126,18.494093,clean
50,0.234375,0.026042,5,1,5,2,2,10,5,5,12,17,0.117647,4,2,192,18.285957,clean
46,0.21256,0.009662,1,0,6,2,2,10,6,1,2,4,0.25,5,3,207,17.678301,clean
2,0.00216,0.00216,0,2,29,4,2,11,0,3,4,4,0.75,3,2.5,463,18.285957,clean
21,0.283784,0,1,1,5,2,2,10,5,5,12,17,0.117647,4,2,74,18.285957,clean
4,0.044444,0.044444,0,0,0,1,1,16,0,1,2,10,0.1,3,3,45,18.494093,clean
40,0.295455,0.007576,2,0,0,1,1,18,0,1,2,5,0.2,3,3,132,17.904261,clean
3,0.013216,0,0,0,1,3,3,13,3,1,2,4,0.75,3,3,227,17.678301,clean
2,0.023256,0.023256,0,0,0,1,1,16,0,1,2,10,0.1,3,3,43,18.494093,clean
90,0.09816,0.01227,7,2,720,4,3,13,0,1,1,1,1,5,5,815,14.474262,clean
81,0.206704,0.019553,4,1,0,1,1,9,0,2,3,3,1,1,1,358,16.802027,buggy
4,0.036364,0.036364,0,1,5,2,2,10,5,5,12,17,0.117647,4,2,55,18.285955,clean
13,0.055794,0,1,1,778,4,3,11,553,3,4,4,0.75,3,2.5,233,18.285955,clean
