@relation crunch_Single_NGLP_Metric_last_label

@attribute 'Modify Lines' numeric
@attribute 'Add Lines' numeric
@attribute 'Delete Lines' numeric
@attribute 'Distribution modified Lines' numeric
@attribute numOfBIC numeric
@attribute fileAge numeric
@attribute SumOfSourceRevision numeric
@attribute SumOfDeveloper numeric
@attribute CommitHour numeric
@attribute AGE numeric
@attribute numOfSubsystems numeric
@attribute numOfDirectories numeric
@attribute numOfFiles numeric
@attribute NUC numeric
@attribute developerExperience numeric
@attribute REXP numeric
@attribute LT numeric
@attribute NGLP numeric
@attribute isBuggy {clean,buggy}

@data
25,0.108911,0.014851,2,0,0,1,1,18,0,1,2,5,0.2,3,3,202,0.266646,clean
4,0.043478,0.043478,0,0,0,1,1,16,0,1,2,10,0.1,3,3,46,0,clean
2,0.003106,0.003106,0,0,0,1,1,8,0,1,1,1,1,2,2,322,0,clean
50,0.234375,0.026042,5,1,0,1,1,11,0,3,9,14,0.285714,2,1.5,192,0,buggy
32,0.205479,0.013699,3,1,2,2,1,22,2,1,1,1,1,2,2,146,92.825392,clean
8,0.050505,0.030303,3,0,0,1,1,16,0,1,2,10,0.1,3,3,99,0,clean
46,0.21256,0.009662,1,0,0,1,1,13,0,1,2,4,0.75,3,3,207,24.83897,clean
13,0.054167,0,1,0,0,1,1,11,0,3,4,4,0.75,3,2.5,240,0,clean
92,0.133652,0.085919,13,1,0,1,1,13,0,3,4,16,0.1875,4,3.5,419,12.190751,buggy
15,0.038136,0.025424,5,1,0,1,1,13,0,3,4,16,0.1875,4,3.5,236,12.190751,buggy
8,0.011538,0.003846,4,1,406,2,2,11,406,1,1,1,1,3,2.5,520,9.02364,clean
74,0.42029,0.115942,4,1,0,1,1,14,0,1,1,2,0.5,2,2,138,14.735556,buggy
33,0.070866,0.059055,5,1,0,1,1,13,0,3,4,16,0.1875,4,3.5,254,12.190751,buggy
2,0.007813,0.007813,0,1,5,2,2,10,5,5,12,17,0.117647,4,2,128,0,clean
3,0.009756,0.004878,1,1,0,1,1,13,0,3,4,16,0.1875,4,3.5,205,12.190751,buggy
9,0.016529,0.057851,0,0,0,1,1,16,0,1,2,10,0.1,3,3,121,0,clean
24,0.134503,0.005848,2,1,0,1,1,11,0,3,9,14,0.285714,2,1.5,171,0,buggy
5,0.006479,0.00432,1,2,98,6,3,14,64,2,2,2,0.5,6,6,463,0,clean
13,0.054167,0,1,0,4,2,2,10,4,5,12,17,0.117647,4,2,240,0,clean
10,0.057692,0.00641,2,0,0,1,1,8,0,1,2,2,0.5,1,1,156,-0,clean
29,0.047059,0.038235,6,1,0,1,1,13,0,3,4,16,0.1875,4,3.5,340,12.190751,buggy
2,0.009174,0.009174,0,0,0,1,1,14,0,1,5,6,0.5,2,2,109,1,clean
2,0.010526,0.010526,0,1,5,2,2,10,5,5,12,17,0.117647,4,2,95,0,clean
94,0.307692,0.006689,6,1,0,1,1,3,0,1,2,2,0.5,1,1,299,22.935023,buggy
2,0.004065,0,0,0,0,1,1,14,0,1,5,6,0.5,2,2,492,1,clean
31,0.105769,0.043269,4,0,0,1,1,18,0,1,2,5,0.2,3,3,208,0.266646,clean
37,0.090129,0.06867,8,0,0,1,1,9,0,1,1,1,1,1,1,233,0,clean
8,0.036036,0,1,0,0,1,1,11,0,1,2,2,0.5,1,1,222,2.526069,clean
20,0.178218,0.019802,3,0,0,1,1,18,0,1,2,5,0.2,3,3,101,0.266646,clean
40,0.080913,0.002075,5,1,0,1,1,3,0,1,2,2,0.5,1,1,482,22.935023,buggy
