@relation groovy_Add_LSTM_metric-weka.filters.unsupervised.attribute.Remove-R1

@attribute 'Modify Lines' numeric
@attribute 'Add Lines' numeric
@attribute 'Delete Lines' numeric
@attribute 'Distribution modified Lines' numeric
@attribute 'Modify Files' numeric
@attribute Directories numeric
@attribute SumOfSourceRevision numeric
@attribute SumOfDeveloper numeric
@attribute 'LSTM C.E.' numeric
@attribute bug {1,0}

@data
58,51,7,4,3,2,121,25,9.334054,1
15,9,6,1,1,1,1,1,3.740242,0
360,360,0,1,1,1,3,2,16.290091,0
890,866,24,12,12,6,13,12,18.044952,0
4,2,2,0,1,1,4,1,3.619277,0
1,1,0,0,1,1,1,1,3.500341,0
1,1,0,0,1,1,1,1,3.541242,0
16,4,12,1,1,1,2,1,3.666737,0
1800,1800,0,1,1,1,9,4,15.743388,0
5,4,1,1,1,1,69,2,3.62763,0
30,27,3,1,1,1,80,11,5.814323,1
24,16,8,1,1,1,4,3,4.812085,0
25,7,18,0,6,2,37,15,3.94477,0
15,12,3,0,1,1,1,1,4.317899,1
35,19,16,2,1,1,29,7,4.755127,0
23,12,11,3,1,1,7,4,4.961344,0
22,10,12,1,1,1,8,5,4.21638,0
6,3,3,0,3,2,48,17,3.600323,0
11,4,7,0,1,1,2,2,3.811616,1
27,15,12,5,5,5,61,20,5.004395,0
6,4,2,2,2,2,11,5,3.806152,0
12,5,7,1,1,1,11,5,3.968401,0
8,4,4,3,1,1,20,8,3.815117,0
17,8,9,0,1,1,130,5,4.703393,0
5,4,1,0,1,1,13,6,3.742965,0
72,54,18,5,1,1,30,2,7.361072,1
2190,1095,1095,662,201,45,1639,794,13.251355,0
22,16,6,2,2,2,33,9,4.840506,1
28,2,26,0,1,1,10,5,3.652025,0
56,28,28,2,2,2,23,9,6.580756,1
308,141,167,3,1,1,8,3,15.596903,0
36,28,8,3,1,1,7,2,5.746269,0
13,10,3,1,1,1,95,2,3.777035,0
30,17,13,1,1,1,9,6,4.216499,0
133,128,5,4,1,1,13,5,10.500411,0
90,51,39,10,4,4,70,17,11.183999,0
59,37,22,14,1,1,1,1,6.275385,0
11,1,10,0,8,3,51,25,3.452489,0
15,7,8,1,1,1,1,1,3.791785,1
28,12,16,0,1,1,21,8,4.654434,0
223,19,204,4,1,1,1,1,4.861447,0
10,8,2,2,1,1,41,9,4.284861,0
192,115,77,4,2,2,16,6,15.326514,0
26,22,4,3,1,1,20,5,5.995041,0
32,30,2,4,2,2,2,2,7.097581,0
11,5,6,0,1,1,127,5,3.743084,0
6,3,3,0,3,3,10,8,3.536458,0
9,6,3,1,4,3,45,16,3.7671,0
14,14,0,3,1,1,8,4,4.370737,0
2021,1961,60,107,7,4,61,28,15.505211,0
24,12,12,2,1,1,135,5,4.577771,0
88,16,72,2,2,2,34,7,4.596411,0
42,30,12,2,1,1,56,10,5.955343,1
139,93,46,3,4,3,16,8,14.210686,0
5,2,3,0,1,1,7,4,3.551919,0
448,448,0,1,1,1,6,3,18.787516,0
38,32,6,5,3,3,30,6,6.646155,0
243,243,0,2,2,2,4,4,13.0951,0
45,17,28,1,1,1,6,4,4.710927,0
41,36,5,2,1,1,54,14,6.714614,0
3,2,1,0,1,1,85,2,3.629214,0
33,26,7,2,1,1,34,5,5.717928,0
7,1,6,0,1,1,29,6,3.606423,0
7,1,6,1,1,1,29,9,3.551919,0
5,5,0,0,1,1,1,1,3.840539,0
13,10,3,0,1,1,119,5,4.12166,0
54,31,23,0,3,1,17,12,6.871014,0
27,16,11,5,1,1,3,1,4.654912,0
4,2,2,1,1,1,64,10,3.614666,0
816,422,394,137,4,2,89,6,13.613855,1
2,1,1,0,1,1,32,9,3.500341,0
71,53,18,5,2,1,7,2,8.459296,0
10,5,5,3,1,1,15,4,4.750623,0
267,127,140,0,1,1,5,4,15.055609,0
164,89,75,6,1,1,12,3,13.230379,0
99,99,0,0,17,1,145,35,11.352944,0
447,447,0,1,1,1,4,4,14.323369,0
24,19,5,6,2,2,27,7,5.106389,0
16,10,6,3,1,1,4,4,4.545578,0
17,16,1,2,1,1,1,1,5.344685,0
4,2,2,0,1,1,2,1,3.583299,0
40,37,3,3,2,2,20,9,6.14412,0
10,9,1,0,1,1,7,4,4.837511,0
2,1,1,0,1,1,2,1,3.525606,0
12,6,6,3,1,1,2,2,3.756253,0
24,17,7,0,1,1,4,2,4.817311,0
396,175,221,8,5,2,81,20,14.86767,0
46,7,39,1,3,2,6,4,4.100927,0
4257,3212,1045,18,6,3,45,24,14.667917,0
19,13,6,0,2,2,5,3,4.773708,0
4,2,2,0,2,2,15,4,3.581604,0
10,8,2,1,1,1,2,1,4.23744,0
17,13,4,1,2,1,2,2,5.163454,0
45,35,10,2,1,1,31,6,8.408107,0
32,28,4,0,1,1,6,5,5.119999,0
8,7,1,0,1,1,3,2,3.642658,0
2,1,1,0,1,1,9,6,3.525606,0
12,6,6,0,1,1,15,5,3.651901,0
4,2,2,0,1,1,6,2,3.641301,0
4,4,0,0,1,1,7,4,3.873426,0
8,5,3,1,1,1,5,3,3.843195,0
14,10,4,0,1,1,1,1,4.542224,0
17,17,0,3,1,1,2,2,4.538599,0
2,1,1,0,1,0,4,1,3.606423,0
573,573,0,8,8,1,42,9,15.236007,0
24,8,16,1,2,2,76,16,4.2269,0
9,5,4,0,2,2,39,8,3.933448,0
58,31,27,0,1,1,4,2,5.404342,0
