@relation groovy_Concat_Single_LSTM_Metric_last_label

@attribute 'Modify Lines' numeric
@attribute 'Add Lines' numeric
@attribute 'Delete Lines' numeric
@attribute 'Distribution modified Lines' numeric
@attribute numOfBIC numeric
@attribute fileAge numeric
@attribute SumOfSourceRevision numeric
@attribute SumOfDeveloper numeric
@attribute CommitHour numeric
@attribute AGE numeric
@attribute numOfSubsystems numeric
@attribute numOfDirectories numeric
@attribute numOfFiles numeric
@attribute NUC numeric
@attribute developerExperience numeric
@attribute REXP numeric
@attribute LT numeric
@attribute 'LSTM C.E.' numeric
@attribute isBuggy {buggy,clean}

@data
32,0.045198,0.045198,1,2,332,3,1,1,5,1,3,51,0.078431,571,420,354,5.232636,buggy
2,0.015625,0.015625,0,0,0,2,1,20,0,1,10,23,0.565217,405,245.83333,64,5.193612,clean
1,0,0.006711,0,0,0,1,1,22,0,1,6,53,0.132075,285,236.5,149,5.232636,clean
0,0,0,0,0,0,1,1,9,0,1,63,663,0.001508,6,6,141,5.128993,clean
30,0.049356,0.015021,3,2,83,4,3,9,0,1,1,1,1,363,212,466,5.678734,clean
5,0.008696,0.002174,0,3,110,4,2,14,0,1,20,76,0.052632,393,242,460,5.180663,buggy
158,0.132867,0.41958,7,9,506,11,3,14,96,1,1,4,1,648,298.66666,286,5.241299,buggy
0,0,0,0,0,0,1,1,9,0,1,63,663,0.001508,6,6,69,5.128993,clean
4,0.015748,0.015748,0,0,254,3,3,0,245,1,45,201,0.348259,516,365,127,5.168338,clean
27,0.015487,0.004425,3,1,0,1,1,17,0,1,1,1,1,1,1,1356,5.634756,buggy
0,0,0,0,0,0,1,1,9,0,1,63,663,0.001508,6,6,66,5.128993,clean
256,0.055013,0.001775,13,47,262,75,2,22,22,1,1,1,1,328,177,4508,10.236485,buggy
0,0,0,0,0,0,1,1,9,0,1,63,663,0.001508,6,6,61,5.128993,clean
22,0.056701,0.056701,1,1,0,1,1,1,0,1,3,51,0.078431,571,420,194,5.232636,buggy
4,0.058824,0.058824,1,1,0,1,1,14,0,1,7,31,0.290323,421,261.8333,34,5.128993,buggy
31,0.007191,0.006742,3,8,56,10,5,8,0,1,1,1,1,346,195,2225,5.725561,buggy
8,0.013825,0.023041,0,3,111,5,3,10,1,1,1,1,1,404,253,217,5.229705,buggy
13,0.002247,0.000674,3,37,145,62,2,20,0,1,1,1,1,173,173,4450,5.383452,clean
10,0.047619,0.047619,1,1,0,1,1,1,0,1,3,51,0.078431,571,420,105,5.232636,buggy
1,0.002817,0,0,4,531,8,2,18,0,1,4,12,0.166667,382,222.83333,355,5.177745,clean
2,0.001208,0.001208,0,5,55,7,3,21,1,1,1,2,1,6,6,828,5.192954,clean
2,0.004902,0,0,3,110,6,3,17,0,1,5,5,0.2,394,243,408,5.180664,clean
8,0.001798,0.001798,2,7,56,9,5,20,0,1,1,1,1,122,73.5,2225,5.41617,buggy
6,0.042735,0.008547,0,1,0,1,1,17,0,1,24,95,0.178947,199,199,117,5.591133,buggy
8,0.00066,0.0011,1,29,116,45,2,6,4,1,1,1,1,136,136,4545,5.427533,buggy
7,0.03139,0,0,2,339,6,1,0,0,1,1,17,0.058824,581,430,223,6.411753,clean
14,0.023419,0.009368,4,1,99,2,2,2,99,1,6,12,0.25,153,104.5,427,5.2517,buggy
4,0.00939,0.00939,1,4,254,6,3,0,145,1,45,201,0.348259,516,365,213,5.168338,clean
2,0.018868,0.018868,0,0,254,2,2,0,254,1,45,201,0.348259,516,365,53,5.168338,clean
4,0.002342,0.002342,1,0,0,1,1,15,0,2,4,9,0.222222,40,40,854,5.20619,clean
35,0.098291,0.051282,3,3,377,4,2,22,108,1,1,2,1,2,1.333333,234,5.210096,buggy
2,0.022727,0.022727,0,1,8,3,1,17,0,1,1,1,1,209,209,44,5.211092,clean
2,0.017544,0.017544,0,1,0,2,1,14,0,1,7,31,0.290323,421,261.8333,57,5.128993,buggy
0,0,0,0,0,0,1,1,9,0,1,63,663,0.001508,6,6,43,5.128993,clean
6,0.008929,0.008929,3,1,0,1,1,12,0,2,14,21,0.428571,309,158,336,5.304554,buggy
2,0.004831,0.004831,0,3,118,5,3,22,8,1,6,20,0.15,172,123.5,207,5.180664,clean
70,1.769231,0.025641,1,1,0,1,1,16,0,1,1,1,1,64,64,39,5.897398,buggy
10,0.028481,0.003165,1,1,71,2,2,11,71,1,1,1,1,26,26,316,5.321268,buggy
6,0.012146,0.012146,2,1,0,1,1,20,0,1,3,38,0.078947,135,86.5,247,5.246023,buggy
7,0.086957,0.014493,0,7,91,10,2,1,0,1,1,1,1,98,98,69,5.311992,buggy
1,0.009804,0,0,1,109,2,2,0,109,1,22,70,0.2,387,236,102,5.180664,buggy
2,0.016949,0.016949,0,1,109,2,2,7,109,1,13,30,0.466667,388,237,59,5.193612,buggy
20,0.216667,0.116667,1,0,0,1,1,7,0,1,13,25,0.28,27,27,60,6.391278,clean
0,0,0,0,0,0,1,1,9,0,1,63,663,0.001508,6,6,44,5.128993,clean
2,0.000056,0.000056,0,15,511,38,7,9,22,2,6,6,1,366,206.83333,17907,5.468978,clean
3,0.000662,0.001325,0,0,103,2,1,12,103,1,5,6,0.666667,384,233,1510,5.211092,clean
2,0.045455,0,0,3,110,4,2,14,0,1,20,76,0.052632,393,242,44,5.180664,buggy
2,0.00041,0.00041,0,13,331,19,5,20,0,2,2,2,0.5,276,276,2437,5.192954,buggy
81,0.083333,0.007883,3,1,14,2,2,0,14,1,4,5,0.6,5,5,888,5.370573,buggy
