Commit Hash,Modify Lines,Add Lines,Delete Lines,Distribution modified Lines,Modify Files,Directories,SumOfSourceRevision,SumOfDeveloper,LSTM C.E.,bug
af9d7a3e68002860fcc178e21b869d2f79c27dee,72,44,28,5,3,3,30,10,7.560308933,1
f4b6b37ca79099468d9ba2817b018a2a576bbef6,6,5,1,1,1,1,27,11,5.395670414,0
a4569f13efdf354f7f5d5e346f49dca02a2e9f22,32,27,5,5,3,3,51,19,6.839277744,1
55c7f7528dccfb4f6209ef6429d0fb1080535613,9,5,4,0,1,1,5,4,4.856532574,0
bd70d2fe3a589afc1607ba38b9fdba65b74d8359,2,1,1,0,1,1,20,11,4.555334568,0
86cd375e267036596f19376e2499e1d1c4ccdcbb,53,39,14,1,5,3,20,11,10.86266804,0
1fe077e020fc21f80f559ed6d2d8a51ccac0ddac,3,2,1,1,1,1,1,1,4.555334568,0
0e44fd1ec6d0a2f7bdfb4d01eabb05473981cd02,9,3,6,1,2,2,75,16,4.616623402,0
bc3c1ada2c9e0b7c8b6e3459b17a21612086cdb2,18,18,0,3,1,1,8,5,5.837522984,0
7a0991e91c5f2e0346664cfc48846f24f9c6b12d,16,12,4,1,1,1,14,8,5.144506454,0
209f2cba3ba4f72897b72dcf5434baf2c96a2d32,4,1,3,1,1,1,5,2,4.555334568,0
2f7caaf760a6d5007a9e62e403d7eb50affc209f,8,8,0,3,1,1,1,1,4.901990414,0
e1ef4ab6158158985422b81b012cceff9350910a,5,4,1,0,1,1,8,3,4.793334484,0
b93af78a4778ed5f1165ff60e863b04a0bf11e14,328,286,42,12,27,17,237,139,15.88295746,0
23fb95cac04fd8d5f6e91a2b1e60f1ee5725747f,20,9,11,6,1,1,31,10,5.360057831,0
d35b433c397c03e78245c3e262ecaa31c78a564e,2,1,1,0,1,1,1,1,4.697241306,0
e6c7c0ae7fbe51cce9468c8b8e068b96138454d7,3,1,2,1,1,1,4,2,4.599024773,0
49c9349c5c1bc1920aadd391fefe8c504be0a7ab,43,30,13,1,3,2,53,25,6.778057098,0
bb2a7adddbc5c780151bb9957d68af52be7339ca,2,2,0,0,2,2,31,12,4.679201603,0
ee9ff89042acc0f9f13987ed3f303d485d82db4e,3,1,2,0,1,1,17,9,4.672627449,0
29280bf8a6da3d037f5c7daf506028194b327d62,357,193,164,20,9,7,195,77,14.69420433,0
af3702448f7c284115046d398c8fcd20db4431a0,4,1,3,1,1,1,19,12,4.486428738,0
546237d4789b2df958752a722053a89c31c24597,90,65,25,3,1,1,15,8,10.72327518,0
747d939caea9deb1418738d0b7cba9b45a0aca4a,6,6,0,0,1,1,17,7,5.13489151,0
8c55414f6779cf2d32bf27c31194cd717d16c99f,8,5,3,1,1,1,18,10,4.693491936,0
dc516b700f9e7b735db5af2b5fb439681f3a0e87,319,151,168,40,2,2,28,13,15.32535553,0
b2ec5c4c1f19a704984f71e9b1c10d489017ae01,42,21,21,4,2,2,22,17,8.022921562,0
87c7a2e57bdde875a0ab36f8586fb607970a4e1d,23,13,10,0,2,2,19,14,5.314562321,1
b5fd9109c81acf1c643ae3618ea5303ec147a259,18,18,0,5,3,3,12,8,6.080888271,0
d67c34608378c816ea8b2bdbc9d71cb928879976,28,20,8,2,3,3,21,13,6.331836224,0
bef8d8e5e7fafc57e6f042c31998f1efb728867d,7,5,2,0,1,1,53,14,4.730294704,0
2ce1177afe7db196a672e0cad6fd9edc29368331,8,7,1,3,1,1,11,7,5.160433769,0
113c58e85f23ebbe2031ec56cca2dd194523f9ef,7,2,5,2,1,1,53,17,4.697953701,0
b1ebe2f6a7fe054321e0554d0f6319189ddb8e67,2,1,1,0,1,1,2,2,4.464105606,0
cebd231420f8ffe72770c81cb5e2a2dd5f6dfe9a,19,14,5,3,3,3,47,24,5.422018528,0
32860a5906834dce0408ae471a376375d40e3653,476,454,22,16,8,6,165,50,16.38645744,1
ca38c854b0a2dba5ce856688a4056675df031b86,10,8,2,2,2,2,18,11,5.183290482,0
9b4a9df26c5b92c82029d030a9bf72cda043209c,32,28,4,4,1,1,13,6,7.24676609,0
d4a2b478c7d1c41107471a775a08b2b677726ef2,8,8,0,3,1,1,2,2,4.901990414,0
8e854ffcecb85342276b9e57e13e7cb0c46053a1,9,3,6,0,1,1,15,9,4.583452225,0
010c2fc8035525545812ae8acfbeeda1a8bbb96b,3,3,0,0,1,1,5,4,4.599024773,0
0bfd857f9b193f0ed84ec325a6d32b23fb34c82c,5,4,1,1,1,1,29,12,4.555334568,0
8151237a4000972f79ee30b371cc7be1dbb10d04,6,2,4,1,1,1,46,16,4.791612625,0
2ae86d3de9a82db380574e107c7548a36575fc91,16,7,9,4,1,1,49,17,5.364997864,0
111a3cc123aece89acdfbfd974f845446671a1e2,408,389,19,12,8,3,145,45,16.63811874,0
89b16ce29f3bf6618ec2bf9df0807b24c1e40339,37,18,19,2,1,1,28,10,6.326831818,0
3628e2fd6974b9bdd98cc80274a35c97e22197dc,44,35,9,1,1,1,4,3,6.894799709,0
ac02d82af823b623c02167e543571e2c16a289be,8,2,6,0,2,2,36,15,4.693446636,0
7e6eabbc2b0a0b5ee91148a9effc6447af5057ba,22,14,8,3,1,1,33,13,5.46403265,0
