@relation metamodel_Add_LSTM_metric-weka.filters.unsupervised.attribute.Remove-R1

@attribute 'Modify Lines' numeric
@attribute 'Add Lines' numeric
@attribute 'Delete Lines' numeric
@attribute 'Distribution modified Lines' numeric
@attribute 'Modify Files' numeric
@attribute Directories numeric
@attribute SumOfSourceRevision numeric
@attribute SumOfDeveloper numeric
@attribute 'LSTM C.E.' numeric
@attribute bug {1,0}

@data
10,5,5,0,1,1,3,1,3.058111,0
26,13,13,5,4,1,20,11,5.360062,0
43,30,13,0,4,2,16,13,5.216367,0
304,203,101,23,7,5,34,18,18.931755,0
63,31,32,1,2,2,13,5,5.719827,0
2,1,1,0,1,1,9,5,3.095655,0
7,1,6,0,1,1,12,2,3.176217,0
5,1,4,1,1,1,13,6,3.095655,0
593,418,175,7,8,1,22,17,18.416901,0
708,706,2,15,21,6,94,30,17.441526,0
6,3,3,2,1,1,8,4,3.36151,0
67,38,29,12,1,1,4,2,9.227266,0
42,42,0,1,1,1,3,2,8.817237,0
64,62,2,2,2,2,4,2,11.00003,0
4,2,2,0,1,1,3,1,3.143459,0
26,3,23,2,1,1,4,2,3.44931,0
10,8,2,0,1,1,2,1,3.751111,0
5,2,3,0,1,1,2,1,3.005205,0
2,1,1,0,1,1,7,3,3.212378,0
6,6,0,0,1,1,3,1,3.353151,0
30,20,10,3,1,1,14,5,4.485468,0
6,5,1,1,1,1,3,3,3.377064,0
9,7,2,0,2,2,16,7,3.911844,0
742,368,374,57,41,13,41,41,18.414814,0
81,59,22,15,1,1,1,1,12.062218,0
325,317,8,9,5,1,8,5,16.737272,0
15,13,2,1,1,1,1,1,4.575059,0
97,65,32,11,3,1,15,7,14.012662,0
25,15,10,0,1,1,18,3,4.400838,0
30,20,10,3,1,1,15,6,4.37494,0
4,2,2,0,1,1,2,1,3.086087,0
22,20,2,1,1,1,2,1,6.57483,0
623,588,35,19,13,5,24,21,18.286983,0
2,1,1,0,1,1,1,1,3.081909,0
229,170,59,3,2,1,9,7,16.102551,0
58,31,27,4,3,2,18,11,6.747346,0
92,53,39,1,9,2,30,23,12.185603,0
99,84,15,6,5,1,15,12,14.972444,0
78,42,36,15,3,1,13,7,9.076465,0
2894,2273,621,78,55,15,76,55,20.543903,0
