@relation jena_Add_LSTM_metric-weka.filters.unsupervised.attribute.Remove-R1

@attribute 'Modify Lines' numeric
@attribute 'Add Lines' numeric
@attribute 'Delete Lines' numeric
@attribute 'Distribution modified Lines' numeric
@attribute 'Modify Files' numeric
@attribute Directories numeric
@attribute SumOfSourceRevision numeric
@attribute SumOfDeveloper numeric
@attribute 'LSTM C.E.' numeric
@attribute bug {1,0}

@data
210,106,104,12,7,6,82,28,20.261553,0
2,1,1,0,1,1,3,1,3.864554,0
2008,1966,42,32,26,5,64,31,25.070034,0
2287,2091,196,54,47,23,500,114,23.861204,0
884,570,314,4,3,1,3,3,22.115601,0
28,21,7,3,4,2,48,10,6.57493,0
6,6,0,1,1,1,20,5,4.402481,0
17,10,7,2,2,2,29,6,5.884857,0
98,48,50,3,1,1,7,3,13.400863,0
43,32,11,3,2,2,38,8,6.960421,0
13,5,8,1,3,2,9,3,4.161634,0
5,1,4,1,1,1,1,1,3.962344,0
2,1,1,0,1,1,10,3,3.923537,0
7,7,0,2,3,3,29,11,4.138266,0
502,319,183,9,11,5,44,16,18.948282,1
8,6,2,1,1,1,4,2,4.30281,0
46,32,14,2,5,3,22,17,11.931759,0
7,4,3,1,2,2,2,2,4.186742,1
198,98,100,25,46,35,330,119,20.341557,0
230,212,18,13,9,5,36,21,18.428616,0
143,111,32,9,8,4,37,22,19.592825,0
65,41,24,1,1,1,5,3,13.079739,0
4,2,2,0,2,1,33,6,4.112486,0
42,1,41,11,1,1,3,1,3.998027,0
587,416,171,31,31,20,288,114,22.370321,0
4,2,2,1,1,1,6,3,3.863099,0
25,13,12,0,3,2,10,3,5.157689,0
45,23,22,6,4,3,96,22,5.886539,1
91,49,42,10,5,3,53,10,12.853686,0
19,14,5,1,3,2,13,7,5.98263,0
7,7,0,1,1,1,4,3,4.50138,0
88,76,12,4,1,1,2,2,14.685844,0
78,43,35,8,4,2,17,6,9.971136,0
289,265,24,1,4,3,12,6,16.975248,0
30,23,7,3,1,1,1,1,6.830491,0
19,18,1,1,1,1,2,1,5.694712,0
135,96,39,13,5,5,59,18,19.286869,0
81,51,30,15,1,1,10,5,8.211331,0
23,13,10,0,1,1,3,2,4.569121,0
2,1,1,0,1,1,4,2,3.992431,0
2,1,1,0,1,1,1,1,3.864554,0
8,4,4,0,1,1,8,5,4.084656,0
4,2,2,0,1,1,1,1,3.851831,0
117,84,33,10,4,3,6,4,18.561064,0
15,10,5,3,1,1,15,5,5.482351,0
310,286,24,3,3,1,17,9,21.050583,0
2,2,0,1,1,1,20,8,4.096375,0
236,180,56,3,2,2,17,7,17.378284,0
419,346,73,28,10,4,126,42,21.414824,0
396,279,117,32,13,3,50,24,19.333488,0
1336,1053,283,16,12,2,93,39,20.250578,0
227,226,1,10,4,3,10,4,23.119612,0
55,34,21,3,1,1,11,4,8.617393,0
30,13,17,3,1,1,1,1,4.996567,0
58,30,28,6,4,3,7,5,13.007566,1
90,87,3,3,2,1,4,2,16.000393,0
3,3,0,0,1,1,50,11,3.863099,0
1022,872,150,23,21,6,124,33,21.374651,1
349,278,71,37,9,5,20,20,19.795958,0
2,2,0,0,2,2,22,7,3.835146,0
88,47,41,4,3,1,4,4,13.459036,1
6,1,5,1,1,1,1,1,3.779455,0
26,18,8,1,1,1,21,6,6.140054,0
11,1,10,2,1,1,2,1,3.852752,0
16,9,7,1,1,1,3,2,4.694365,0
18,16,2,2,1,1,4,3,5.157427,0
94,94,0,1,1,1,1,1,18.719534,0
