Commit Hash,Modify Lines,Add Lines,Delete Lines,Distribution modified Lines,Modify Files,Directories,SumOfSourceRevision,SumOfDeveloper,LSTM C.E.,bug
341e66ecd853b848e29e298066ee21e96ac0e2f7,22,9,13,3,1,1,4,2,4.16557312,0
509eab166bc27023e4504f6e93321dee0f993166,13,12,1,1,6,2,13,12,4.348104477,1
e0809dbcb77ae86115dd8f2a021a1086c9b69c5d,100,48,52,3,7,1,15,14,7.121262074,0
15f26883515231610c753d25e224c5e26cb4d641,4,2,2,0,2,2,34,16,3.873086452,0
8cb4dd7f2c8887e9f6ac3b2569845c445b338db8,203,113,90,8,5,1,7,6,16.78366089,0
8c1598347bec4d88003c4ed1eb4a17901d415121,2,1,1,0,1,1,4,3,3.567010403,0
38b0ff869c5b4056ac02be7dc0db0aded3b1d600,92,36,56,6,1,1,3,1,8.008906364,0
f6cca72005d39247b6b334d65db3eaae400e6ba6,66,30,36,6,1,1,1,1,7.605771542,0
a57a894c5f336acdcfec39f80a17b4c2c131e1af,45,14,31,1,1,1,4,1,4.73362112,0
261e04d63d7b22080fde18c44ccaada643564fd1,234,234,0,4,4,1,4,4,19.10186958,0
d68481b8974a4c8ec1a3fd6dbf5d20ed482537ea,6,3,3,0,1,1,11,3,3.653995275,0
2907efba81623bf5cce7c5f765ac49fd8fbe3f1e,20,20,0,1,2,2,2,2,5.699011326,0
340fcabcf6da9f90e48e7604242ee3508f71f1c9,278,12,266,6,13,10,33,21,4.374590874,0
7b459d7f1247c078f06aa60caf1d3eb450d7704b,29,27,2,2,2,1,13,9,6.259673119,0
8df158d29e6419c0f24d529cf5990f50cb0be70e,4,2,2,0,2,2,4,3,3.799963474,0
a7e0f5ccc39c30c59c70822116e8e818bc22c796,2,1,1,0,1,1,7,3,3.545719147,0
19820b80e609313c96bcd18fce7852aea5720f2b,2,1,1,0,1,1,3,2,3.74162364,0
35ba0c8ab65620e8ec489fe22b9810e61643444d,1,1,0,0,1,1,4,4,3.598340034,0
