@relation creadur-rat_Master_NGLP_Metric_last_label

@attribute 'Modify Lines' numeric
@attribute 'Add Lines' numeric
@attribute 'Delete Lines' numeric
@attribute 'Distribution modified Lines' numeric
@attribute numOfBIC numeric
@attribute fileAge numeric
@attribute SumOfSourceRevision numeric
@attribute SumOfDeveloper numeric
@attribute CommitHour numeric
@attribute AGE numeric
@attribute numOfSubsystems numeric
@attribute numOfDirectories numeric
@attribute numOfFiles numeric
@attribute NUC numeric
@attribute developerExperience numeric
@attribute REXP numeric
@attribute LT numeric
@attribute NGLP numeric
@attribute isBuggy {clean}

@data
2,0.013889,0.013889,0,0,0,2,1,21,0,3,15,21,0.285714,8,8,72,22.062502,clean
3,0.003617,0.001808,0,0,0,1,1,19,0,1,1,1,1,9,9,553,6.768184,clean
4,0.004773,0.004773,1,0,601,11,2,20,0,3,11,13,0.307692,3,3,419,22.040035,clean
18,0.016667,0.033333,2,0,588,6,2,21,0,3,15,21,0.285714,8,8,360,22.062502,clean
11,0.01385,0.01662,0,0,349,4,1,20,263,1,1,1,1,16,9.5,361,0.830075,clean
4,0.019048,0.019048,1,0,588,3,2,21,0,3,15,21,0.285714,8,8,105,22.062502,clean
2,0.013333,0.013333,0,0,0,1,1,20,0,3,11,13,0.307692,3,3,75,22.040035,clean
3,0.057143,0.028571,0,0,0,1,1,13,0,1,1,1,1,2,2,35,12.115282,clean
3,0.003205,0.001603,1,0,0,1,1,21,0,1,1,1,1,1,1,624,0,clean
6,0.019048,0.038095,1,0,0,1,1,5,0,3,13,17,0.235294,10,10,105,14.154256,clean
2,0.013333,0.013333,0,0,0,2,1,21,0,2,2,2,0.5,6,6,75,0,clean
3,0.016667,0.033333,0,0,0,1,1,5,0,3,13,17,0.235294,10,10,60,14.154256,clean
2,0.001538,0.001538,0,0,588,2,2,21,588,3,15,21,0.285714,8,8,650,22.062502,clean
13,0.026829,0.004878,1,0,3,6,1,18,0,1,1,1,1,7,7,410,0,clean
4,0.003195,0.009585,0,0,0,1,1,20,0,3,11,13,0.307692,3,3,313,22.040035,clean
2,0,0.033898,0,0,588,2,2,21,588,3,15,21,0.285714,8,8,59,22.062502,clean
6,0,0.051282,0,0,0,1,1,5,0,3,13,17,0.235294,10,10,117,14.154256,clean
2,0.013514,0.013514,0,0,0,1,1,18,0,2,3,3,0.666667,3,3,74,1.415037,clean
2,0.012987,0.012987,0,0,0,1,1,5,0,3,13,17,0.235294,10,10,77,14.154256,clean
2,0.022727,0.022727,0,0,0,1,1,21,0,3,15,21,0.285714,8,8,44,22.062502,clean
3,0.009615,0.019231,0,0,0,1,1,5,0,3,13,17,0.235294,10,10,104,14.154256,clean
2,0.0016,0.0016,0,0,764,3,2,21,588,3,15,21,0.285714,8,8,625,22.062502,clean
2,0,0.027027,0,0,0,2,1,22,0,1,1,1,1,9,9,74,0,clean
12,0.019499,0.013928,1,0,86,3,1,10,8,2,2,2,0.5,15,8.5,359,11.641558,clean
2,0.008403,0.008403,0,0,0,1,1,5,0,3,13,17,0.235294,10,10,119,14.154256,clean
2,0.02439,0.02439,0,0,0,1,1,21,0,3,15,21,0.285714,8,8,41,22.062502,clean
2,0.003215,0.003215,1,0,0,2,1,21,0,2,2,2,0.5,6,6,311,0,clean
2,0.008333,0.008333,0,0,0,1,1,5,0,3,13,17,0.235294,10,10,120,14.154256,clean
