Commit Hash,Modify Lines,Add Lines,Delete Lines,Distribution modified Lines,Modify Files,Directories,SumOfSourceRevision,SumOfDeveloper,LSTM C.E.,bug
3fb7ff27d4011a4a93e349df63099766486b37cb,3,1,2,0,2,2,7,5,2.999019384,0
3e62a756c6c7991fa3f1901e2d807fbd9c182788,5,3,2,0,1,1,5,3,3.103465796,0
eaef3d6ebed34a37778e762ea40507c7490e0742,24,13,11,6,2,2,3,2,3.875330925,0
9066920586174c2ba967fbd2434a21fa5b8353fa,43,21,22,1,1,1,1,1,5.553105831,0
c0198a0cea7d3aca506b3252b045e24ce90f5921,9,9,0,2,1,1,2,1,3.571109772,0
33ad0a58b34745afb01887f7b042811f042cfb61,88,55,33,6,4,4,9,6,10.6869421,0
81ad0311d1b402a28d9ef5644f5c7115af6f7dbf,16,16,0,0,1,1,2,1,6.671391964,0
71c1f95a46fef70bff42cf0b1db56cfc3f6b1d3c,154,150,4,5,5,4,5,5,17.6031456,0
c970bb426b9460939e7283e77e2f505b6ba3c9d5,5231,2591,2640,2,47,4,51,50,19.71627617,0
579e83f5f78b79e61569d64708b895985ba1d72e,108,67,41,0,5,5,10,6,12.6765852,0
1085dae698371fd58f60c2aa728430edfef916b8,14,8,6,2,1,1,6,2,3.884358406,0
5630417334c64e36c0573f71677af34d39ec5d35,2,1,1,0,1,1,1,1,2.846514702,0
d6d859fbdbd8d3d86cd4595303a9101d0ae0dddd,10,6,4,0,1,1,2,1,3.088746548,0
ec52457cdda61be2d26c1f08935198447bde3d86,65,25,40,5,6,5,21,9,7.732666969,0
3fe637eb573c0d8aa85420c5d6101efd6aef13e4,786,633,153,28,35,17,78,47,19.43910789,0
f20bf0eb31bd46f08ff0386dc86546bf7ae306df,25,13,12,0,1,1,4,2,4.096713543,0
6e0fc410d4d148eba238c86d3bb7b2be507f6d82,609,438,171,14,8,6,11,10,18.27083969,0
f4370ac3394595f21d67d35ebd0afa05009712fc,3,1,2,0,1,1,3,3,3.074028969,0
a1c6a3948c574e646e89ceb77396f35d9d49fad7,31,22,9,3,6,4,6,6,5.277896404,1
877d3e77b18c162455d1970a0cff9d5e04dc44b2,288,285,3,9,7,5,9,9,18.24300957,0
52edcd1b7bbb4965957e7942b20379453fc10244,26,21,5,2,2,1,6,5,5.256957054,0
eaad6cf74c896a97a061a3f600a0ec64a95c0963,13,10,3,2,1,1,2,1,4.22982645,0
