@relation deltaspike_Line_Single_LSTM_Metric_last_label

@attribute 'Modify Lines' numeric
@attribute 'Add Lines' numeric
@attribute 'Delete Lines' numeric
@attribute 'Distribution modified Lines' numeric
@attribute numOfBIC numeric
@attribute fileAge numeric
@attribute SumOfSourceRevision numeric
@attribute SumOfDeveloper numeric
@attribute CommitHour numeric
@attribute AGE numeric
@attribute numOfSubsystems numeric
@attribute numOfDirectories numeric
@attribute numOfFiles numeric
@attribute NUC numeric
@attribute developerExperience numeric
@attribute REXP numeric
@attribute LT numeric
@attribute 'LSTM C.E.' numeric
@attribute isBuggy {buggy,clean}

@data
4,0.033333,0.033333,1,1,0,1,1,2,0,1,9,25,0.04,1,1,60,2.01146,buggy
2,0.003623,0.003623,0,0,206,2,2,11,206,1,2,2,0.5,28,12.166666,276,4.98947,clean
3,0.001905,0.00381,1,4,22,5,1,14,3,1,1,1,1,17,17,525,4.914154,clean
2,0.020408,0.020408,0,0,0,2,1,17,0,1,1,1,1,7,7,49,9.394068,clean
9,0.095745,0,1,0,0,1,1,16,0,1,3,3,0.666667,21,12.5,94,1.512287,clean
16,0.029907,0,3,3,14,4,2,12,13,1,1,1,1,4,4,535,1.822104,buggy
5,0.007353,0.004902,0,1,323,3,2,16,45,1,3,3,0.666667,21,12.5,408,1.512287,clean
5,0.018405,0.01227,2,1,2,2,2,16,2,1,1,1,1,3,3,163,2.439377,clean
10,0.125,0.1875,0,1,0,1,1,21,0,1,6,10,0.3,1,1,32,1.647507,buggy
2,0.017241,0.017241,0,1,0,1,1,13,0,1,5,6,0.333333,2,2,58,2.438512,buggy
4,0.053571,0.017857,1,1,0,1,1,13,0,1,5,6,0.333333,2,2,56,2.438512,buggy
2,0.006944,0.006944,0,1,0,2,1,18,0,1,2,2,1,33,17.5,144,4.446751,clean
3,0.078947,0,0,0,0,1,1,15,0,1,2,2,0.5,1,1,38,2.507991,clean
13,0.037634,0.032258,2,1,0,1,1,2,0,1,9,25,0.04,1,1,186,2.011461,buggy
2,0.014925,0.014925,0,0,0,1,1,14,0,1,5,9,0.333333,43,27.5,67,0.035759,clean
2,0.023256,0.023256,0,0,0,1,1,12,0,1,3,8,0.25,42,26.5,43,0.644144,clean
2,0.014706,0.014706,0,0,6,2,1,17,6,1,1,2,1,5,5,68,3.392056,clean
7,0.06383,0.010638,0,1,0,1,1,10,0,1,2,2,0.5,9,9,94,1.66967,buggy
1,0,0.017241,0,1,0,1,1,2,0,1,9,25,0.04,1,1,58,2.011461,buggy
3,0.075,0,0,0,0,1,1,7,0,1,1,2,0.5,2,1.5,40,0.9044,clean
4,0.013245,0.013245,0,0,0,1,1,14,0,1,5,9,0.333333,43,27.5,151,0.035759,clean
9,0.04878,0.006098,0,1,13,3,1,11,13,1,2,2,1,36,20.5,164,1.575356,buggy
2,0.002809,0.002809,0,1,9,3,1,23,9,1,1,1,1,11,9.5,356,4.730999,clean
4,0.014085,0.014085,1,2,689,4,3,0,529,1,1,1,1,17,9.5,142,0.782134,clean
99,0.296137,0.128755,8,1,0,1,1,12,0,1,2,2,0.5,11,11,233,1.923417,buggy
27,0.137755,0,3,3,0,4,1,23,0,1,2,3,0.666667,9,9,196,1.430136,buggy
2,0.015152,0.015152,0,0,0,1,1,14,0,1,5,9,0.333333,43,27.5,66,0.035759,clean
18,0.066176,0.066176,4,1,0,1,1,21,0,1,6,10,0.3,1,1,136,1.647507,buggy
2,0.026316,0.026316,0,1,0,1,1,13,0,1,3,3,0.333333,22,22,38,2.426453,buggy
5,0.018868,0.075472,1,2,3,2,1,14,3,1,1,4,0.5,4,4,53,1.530314,buggy
142,0.00921,0.09977,10,5,314,10,3,12,0,1,1,1,1,40,24.5,1303,2.367291,clean
2,0.027778,0.027778,0,1,0,1,1,13,0,1,3,3,0.333333,22,22,36,2.426453,buggy
2,0.020408,0.020408,0,0,0,1,1,23,0,1,2,3,0.333333,8,6.5,49,2.390577,clean
2,0.021739,0.021739,0,1,0,1,1,2,0,1,9,25,0.04,1,1,46,2.011461,buggy
2,0.025641,0.025641,0,0,0,1,1,17,0,1,2,4,0.75,6,6,39,3.592483,clean
3,0.017647,0,1,1,0,1,1,11,0,1,4,5,0.4,3,3,170,2.006609,buggy
19,0.012442,0.017107,3,6,316,13,3,13,0,1,1,1,1,48,32.5,643,2.753021,clean
4,0.007168,0.007168,0,0,12,3,1,21,6,1,2,3,0.666667,8,8,279,3.791151,clean
12,0.010025,0.02005,4,2,447,4,3,16,374,1,1,1,1,1,1,399,1.598197,clean
14,0.037433,0.037433,2,1,694,3,2,15,0,1,1,1,1,31,15.166666,187,1.834302,clean
2,0.019231,0,0,0,0,1,1,13,0,1,1,1,1,30,14.166666,104,0.782135,clean
6,0.011811,0.011811,2,5,31,7,1,9,0,1,2,4,0.75,57,41.5,254,2.228081,buggy
7,0.012371,0.002062,0,0,0,1,1,18,0,1,1,1,1,1,1,485,1.904692,clean
8,0.086957,0.086957,1,1,0,1,1,9,0,1,2,4,0.75,57,41.5,46,2.228081,buggy
14,0.09589,0.09589,0,1,0,2,1,14,0,1,5,9,0.333333,43,27.5,73,0.035759,clean
32,0.162791,0.209302,1,1,0,2,2,9,0,1,1,1,1,6,4.5,86,1.82543,clean
2,0.014706,0.014706,0,0,0,1,1,14,0,1,3,4,0.75,20,11.5,68,0.644144,clean
14,0.037433,0.037433,2,1,694,2,2,9,694,1,1,1,1,1,1,187,1.834302,clean
12,0.070968,0.006452,1,1,0,1,1,11,0,1,4,5,0.4,3,3,155,2.006609,buggy
4,0.114286,0,1,0,0,1,1,7,0,1,1,2,0.5,2,1.5,35,0.9044,clean
4,0.020833,0.0625,0,1,0,2,1,17,0,1,2,3,1,55,39.5,48,2.426453,buggy
7,0.046358,0,0,1,323,2,1,16,323,1,3,3,0.666667,22,13.5,151,0.755204,clean
8,0.225806,0.032258,0,0,0,1,1,11,0,1,1,2,0.5,3,3,31,1.074041,clean
4,0.004687,0.001563,1,6,344,14,3,12,27,1,2,2,1,51,35.5,640,3.510821,clean
2,0.02,0.02,0,2,3,3,1,14,0,1,1,1,1,5,5,50,1.430136,clean
197,1.052083,1,0,0,0,1,1,18,0,1,1,2,1,49,33.5,96,2.193074,clean
2,0.011494,0.011494,0,0,0,1,1,12,0,1,3,8,0.25,42,26.5,87,0.644144,clean
29,0.081967,0.076503,5,1,0,1,1,2,0,1,9,25,0.04,1,1,183,2.01146,buggy
202,3.046875,0.109375,2,2,7,2,1,11,7,1,1,3,0.666667,7,7,64,0.881884,buggy
67,0.101604,0.256684,2,3,3,3,1,16,0,1,4,5,0.4,7,7,187,0.986358,buggy
2,0.004,0.004,0,1,483,3,2,11,483,1,1,1,1,29,13.166666,250,5.219993,clean
4,0.083333,0,0,0,0,1,1,13,0,1,1,1,1,66,50.5,48,3.267211,clean
197,1.727273,0.262626,3,1,0,1,1,15,0,1,1,1,1,6,6,99,2.18134,buggy
24,0.098765,0.049383,3,1,0,1,1,13,0,1,5,6,0.333333,2,2,162,2.438511,buggy
24,0.039931,0.001736,1,1,0,1,1,20,0,1,1,1,1,4,2.5,576,2.052489,buggy
46,0.309735,0.097345,3,1,0,1,1,13,0,1,5,6,0.333333,2,2,113,2.438512,buggy
4,0.022388,0.007463,0,0,0,1,1,21,0,1,1,1,1,26,26,134,0.912807,clean
4,0.040816,0.040816,1,0,0,1,1,17,0,1,2,4,0.75,6,6,49,3.592483,clean
9,0.021505,0.010753,0,0,14,4,1,13,1,1,1,1,1,10,10,279,1.505016,clean
8,0.011765,0.035294,3,1,208,2,1,20,208,1,2,2,1,6,4,170,1.170148,clean
4,0.08,0,0,2,48,2,1,17,48,1,4,6,0.5,3,3,50,3.553105,buggy
96,0.151064,0.053191,5,1,0,1,1,13,0,1,3,3,0.333333,1,1,470,1.519505,buggy
15,0.026132,0,1,0,44,3,1,14,44,1,2,4,0.75,58,42.5,574,1.444188,clean
65,0.041806,0.06689,3,2,0,2,1,20,0,1,1,1,1,5,3.5,598,1.724885,buggy
5,0.104167,0,0,1,0,1,1,13,0,1,3,3,0.333333,1,1,48,1.519505,buggy
25,0.202128,0.06383,1,1,0,1,1,2,0,1,9,25,0.04,1,1,94,2.011461,buggy
2,0.00289,0.00289,0,0,0,1,1,23,0,1,2,3,0.333333,8,6.5,346,2.390578,clean
18,0.082645,0.066116,1,4,31,4,1,9,1,1,2,4,0.75,57,41.5,121,2.228081,buggy
2,0.000818,0.000818,0,4,127,5,1,15,103,1,1,1,1,20,20,1222,4.766113,buggy
8,0.121212,0.121212,1,1,0,1,1,9,0,1,2,4,0.75,57,41.5,33,2.228081,buggy
11,0.043478,0.195652,0,1,14,2,1,14,14,1,2,4,0.75,58,42.5,46,1.444188,clean
2,0.009804,0.009804,0,0,0,1,1,16,0,1,1,2,0.5,16,16,102,1.122569,clean
4,0.020408,0.061224,0,0,6,3,1,21,6,1,2,3,0.666667,8,8,49,3.791151,clean
6,0.06383,0.06383,1,0,7,4,1,13,1,1,2,2,0.5,9,9,47,3.592483,clean
10,0.170213,0.042553,1,0,7,5,1,14,0,1,1,1,1,13,13,47,1.111334,clean
3,0.003617,0.001808,0,3,14,6,2,12,0,1,1,1,1,10,10,553,2.714642,clean
2,0.008929,0.008929,0,1,197,2,1,21,197,1,1,1,1,18,9.5,112,1.170148,clean
22,0.033956,0.003396,2,0,52,4,1,20,7,1,2,3,1,59,43.5,589,1.941403,clean
4,0.032787,0.032787,0,1,0,1,1,2,0,1,9,25,0.04,1,1,61,2.011461,buggy
2,0.026316,0.026316,0,0,46,2,2,13,46,1,1,1,1,23,14.5,38,1.170148,clean
7,0.012821,0.009615,0,0,0,1,1,9,0,1,1,1,1,1,1,312,2.232895,clean
6,0.065217,0.065217,0,0,0,1,1,14,0,1,5,9,0.333333,43,27.5,46,0.035759,clean
33,0.181319,0,0,2,2,3,1,18,1,1,1,2,1,49,33.5,182,2.193074,clean
34,0.135593,0.440678,0,0,0,1,1,11,0,1,1,1,1,2,2,59,1.41089,clean
11,0.080292,0,1,2,0,2,1,17,0,1,4,6,0.5,3,3,137,3.553105,buggy
9,0.041096,0,0,1,0,1,1,19,0,1,1,1,1,7,5.5,219,1.518479,buggy
101,0.388889,0.234568,5,1,0,1,1,20,0,1,7,11,0.090909,15,15,162,1.380704,buggy
7,0.011655,0.004662,4,1,71,2,2,13,71,1,5,6,0.333333,2,2,429,2.438512,buggy
8,0.009662,0.028986,0,0,0,1,1,7,0,1,1,1,1,3,2.5,207,3.112033,clean
3,0.02439,0.04878,1,0,6,2,1,17,6,1,1,2,1,5,5,41,3.392056,clean
8,0.129032,0.129032,1,1,0,1,1,20,0,1,7,11,0.090909,15,15,31,1.380705,buggy
2,0.057143,0,0,0,0,1,1,12,0,1,2,2,0.5,64,48.5,35,0.686062,clean
4,0.027397,0.027397,1,1,0,1,1,15,0,1,2,4,0.5,41,25.5,73,2.650945,buggy
41,0.5125,0,0,2,29,2,1,13,29,1,1,1,1,52,36.5,80,3.001452,buggy
2,0.007092,0,1,0,14,5,1,13,0,1,1,1,1,11,11,282,4.05826,clean
4,0.013333,0.013333,0,1,0,1,1,2,0,1,9,25,0.04,1,1,150,2.011461,buggy
9,0.140351,0.017544,0,1,0,1,1,22,0,1,3,4,0.75,2,2,57,2.325497,buggy
2,0.003937,0.003937,0,5,53,8,1,20,21,1,2,3,1,59,43.5,254,1.941403,clean
19,0.131783,0.015504,1,2,53,3,3,8,53,1,2,2,1,1,1,129,1.391297,buggy
8,0.009662,0.028986,0,0,0,2,2,13,0,1,2,3,0.666667,63,47.5,207,0.9044,clean
31,0.074074,0.040741,5,0,0,1,1,11,0,1,1,1,1,1,1,270,1.839212,clean
6,0.004898,0,0,3,20,3,1,9,19,1,2,2,1,12,12,1225,2.140501,buggy
12,0.025316,0.050633,3,4,4,5,1,17,0,1,2,3,1,12,12,158,2.99531,buggy
30,0.07377,0.04918,6,1,0,2,1,17,0,1,1,1,1,7,7,244,1.747541,clean
2,0.014493,0.014493,0,0,0,1,1,14,0,1,5,9,0.333333,43,27.5,69,0.035759,clean
2,0.014706,0.014706,0,0,6,3,1,17,0,1,2,4,0.75,6,6,68,3.592483,clean
