@relation groovy_developer_last_label

@attribute 'Modify Lines' numeric
@attribute 'Add Lines' numeric
@attribute 'Delete Lines' numeric
@attribute 'Distribution modified Lines' numeric
@attribute numOfBIC numeric
@attribute fileAge numeric
@attribute SumOfSourceRevision numeric
@attribute SumOfDeveloper numeric
@attribute CommitHour numeric
@attribute AGE numeric
@attribute numOfSubsystems numeric
@attribute numOfDirectories numeric
@attribute numOfFiles numeric
@attribute NUC numeric
@attribute developerExperience numeric
@attribute REXP numeric
@attribute LT numeric
@attribute isBuggy {clean,buggy}

@data
2,0.017241,0.017241,0,1,254,3,2,0,128,1,45,201,0.348259,516,365,58,clean
1,0.026316,0,0,3,104,4,1,14,0,1,20,76,0.052632,393,242,38,buggy
17,0.021888,0.001368,0,2,205,3,2,11,3,1,21,68,0.073529,193,193,731,buggy
4,0.004435,0.004435,0,3,254,5,2,0,144,1,45,201,0.348259,516,365,451,clean
17,0.130435,0.017391,1,0,0,2,2,15,0,1,1,1,1,1,1,115,clean
74,0.036667,0.045556,20,2,11,3,2,9,0,1,1,1,1,38,38,900,buggy
23,0.072464,0.01087,0,3,259,5,2,11,3,1,21,68,0.073529,193,193,276,buggy
0,0,0,0,0,0,1,1,9,0,1,63,663,0.001508,6,6,1065,clean
2,0,0.017094,0,0,307,2,2,13,307,1,10,54,0.222222,284,235.5,117,clean
3,0,0.017241,0,1,306,2,1,22,306,1,6,53,0.132075,285,236.5,174,clean
2,0,0.030769,0,0,0,1,1,9,0,1,14,39,0.435897,283,234.5,65,clean
2,0.016129,0.016129,0,1,0,1,1,21,0,1,51,278,0.183453,190,190,62,buggy
0,0,0,0,0,0,1,1,9,0,1,63,663,0.001508,6,6,75,clean
3,0.005797,0.002899,1,1,8,2,1,16,8,1,5,5,0.8,208,208,345,clean
4,0.01105,0.01105,0,0,0,1,1,9,0,1,1,1,1,373,222,181,clean
2,0.000454,0,0,33,130,54,2,22,0,1,1,1,1,156,156,4408,clean
22,0.002536,0.001449,1,34,169,41,7,18,4,1,1,2,1,468,317,5520,buggy
2,0.08,0,0,3,104,4,1,14,0,1,20,76,0.052632,393,242,25,buggy
8,0.023438,0.039063,2,2,532,3,3,12,117,1,2,3,1,10,9.5,128,buggy
2,0,0.051282,0,0,0,1,1,6,0,2,3,20,0.25,281,232.5,39,clean
1,0,0.003333,0,1,109,3,3,8,95,1,9,12,0.833333,391,240,300,clean
0,0,0,0,0,0,1,1,9,0,1,63,663,0.001508,6,6,1179,clean
3,0,0.012,1,1,414,2,2,16,414,1,54,421,0.114014,303,144.33333,250,buggy
352,1,1,0,0,499,2,2,13,499,2,22,59,0.305085,346,186.83333,176,clean
2,0.005525,0.005525,0,1,0,2,1,14,0,1,7,31,0.290323,421,261.8333,181,buggy
0,0,0,0,0,0,1,1,10,0,1,4,20,0.05,36,36,83,clean
4,0.007576,0.022727,0,1,0,1,1,21,0,1,51,278,0.183453,190,190,132,buggy
2,0.001639,0.001639,0,1,109,2,2,7,109,1,13,30,0.466667,388,237,610,buggy
29,0.065491,0.007557,0,2,226,3,2,21,2,1,51,278,0.183453,190,190,397,buggy
2,0.005747,0.005747,0,4,254,9,3,1,0,1,45,201,0.004975,517,366,174,buggy
4,0.015625,0.015625,0,1,51,2,2,21,51,2,21,33,0.575758,30,30,128,clean
14,0.029536,0.029536,5,4,254,9,6,0,78,1,45,201,0.348259,516,365,237,clean
3,0,0.032967,0,1,306,2,1,22,306,1,6,53,0.132075,285,236.5,91,clean
3,0.012658,0.006329,1,3,249,5,3,22,65,1,10,19,0.736842,229,180.5,158,buggy
0,0,0,0,0,0,1,1,14,0,1,2,12,0.083333,380,220.83333,221,clean
112,1,1,0,1,499,3,3,13,244,2,22,59,0.305085,346,186.83333,56,clean
0,0,0,0,0,0,1,1,9,0,1,63,663,0.001508,6,6,75,clean
0,0,0,0,0,0,1,1,9,0,1,63,663,0.001508,6,6,74,clean
2,0.001745,0.001745,0,1,5,3,1,22,5,1,1,17,0.058824,576,425,573,clean
3,0,0.028571,0,1,414,2,2,16,414,1,54,421,0.114014,303,144.33333,105,buggy
0,0,0,0,0,0,1,1,9,0,1,63,663,0.001508,6,6,204,clean
174,1.011628,1.011628,1,0,0,1,1,8,0,1,16,212,0.004717,289,289,86,clean
26,0.056047,0.020649,1,1,42,2,2,22,42,1,3,7,0.571429,112,63.5,339,buggy
1,0.000788,0,0,1,10,2,1,18,10,1,7,7,0.571429,218,218,1269,clean
690,1,1,0,4,437,7,4,9,140,2,6,12,0.583333,306,147.33333,345,buggy
12,0.001335,0.001335,4,16,86,22,1,1,16,1,1,2,1,31,31,4494,buggy
