@relation camel_developer_last_label

@attribute 'Modify Lines' numeric
@attribute 'Add Lines' numeric
@attribute 'Delete Lines' numeric
@attribute 'Distribution modified Lines' numeric
@attribute numOfBIC numeric
@attribute fileAge numeric
@attribute SumOfSourceRevision numeric
@attribute SumOfDeveloper numeric
@attribute CommitHour numeric
@attribute AGE numeric
@attribute numOfSubsystems numeric
@attribute numOfDirectories numeric
@attribute numOfFiles numeric
@attribute NUC numeric
@attribute developerExperience numeric
@attribute REXP numeric
@attribute LT numeric
@attribute isBuggy {buggy,clean}

@data
116,0.975904,0.421687,0,5,121,9,4,18,9,3,294,601,0.016639,116,116,83,buggy
2,0.007813,0.007813,0,7,643,11,5,11,19,5,23,30,0.4,66,66,128,buggy
7,0.005,0.00375,1,6,111,7,3,9,2,1,5,12,0.833333,876,645,800,buggy
5,0.033784,0,0,5,547,9,6,10,5,2,287,282,0.170213,309,273,148,buggy
2,0.005464,0.005464,0,2,13,2,1,13,13,4,11,18,0.277778,34,34,183,buggy
4,0.003413,0.003413,0,2,3,2,1,2,3,3,15,22,0.409091,18,18,586,buggy
16,0.108844,0,0,1,403,2,2,21,403,7,1736,7872,0.132495,145,57.666668,147,clean
5,0.083333,0,0,5,436,5,3,10,123,2,337,351,0.150997,103,55,60,buggy
58,0.074627,0.098507,24,1,0,1,1,12,0,2,2,296,0.003378,1121,814,335,buggy
2,0.00625,0.00625,0,4,639,7,4,21,24,7,1736,7872,0.132495,145,57.666668,160,clean
2,0.034483,0.034483,0,1,30,2,2,14,30,1,1,7,0.428571,820,513,29,clean
1,0,0.005128,0,1,0,1,1,19,0,1,125,288,0.288194,71,53.5,195,buggy
4,0.042553,0.042553,1,1,0,1,1,10,0,7,817,2007,0.159442,43,43,47,buggy
4,0.013889,0.013889,1,2,188,3,3,16,188,1,79,133,0.338346,35,26,144,buggy
0,0,0,0,1,0,1,1,8,0,2,122,1710,0.001754,137,88.5,80,buggy
103,0.065554,0.057211,16,31,25,36,3,9,0,1,2,3,1,969,738,839,buggy
4,0.005731,0.005731,1,0,9,2,2,22,9,1,2,3,1,1,1,349,clean
2,0.000611,0.000611,0,1,0,3,1,17,0,5,36,59,0.694915,3,3,1638,buggy
1,0.026316,0,0,1,0,1,1,10,0,1,5,28,0.107143,1,1,38,buggy
2,0.030303,0.030303,0,1,160,2,2,8,160,2,7,11,0.454545,647,416,33,buggy
2,0.002681,0.002681,0,1,42,2,2,21,42,7,1736,7872,0.132495,145,57.666668,373,clean
0,0,0,0,1,0,1,1,8,0,2,122,1710,0.001754,137,88.5,29,buggy
38,0.213675,0.111111,4,3,3,4,1,12,0,3,295,304,0.013158,122,122,117,buggy
2,0.005236,0.005236,0,1,0,1,1,23,0,1,1,2,1,93,93,191,buggy
2,0.022222,0.022222,0,1,232,2,1,11,232,2,20,47,0.234043,704,704,45,clean
6,0.032,0.016,0,5,588,5,3,19,0,2,4,8,0.375,2,2,125,buggy
12,0.017647,0.017647,4,5,843,9,7,15,100,2,2,3,0.666667,36,33,340,clean
2,0.004785,0.004785,0,2,44,4,3,10,13,1,1,1,1,1,1,209,clean
2,0.008403,0.008403,0,4,372,4,3,10,327,7,817,2007,0.159442,43,43,119,buggy
2,0.002028,0.002028,0,5,326,9,4,21,24,7,1736,7872,0.132495,145,57.666668,493,clean
15,0.026549,0.039823,3,1,21,2,2,17,21,2,178,337,0.338279,39,39,226,buggy
5,0.027778,0.041667,1,2,0,2,2,11,0,1,2,7,0.285714,57,41,72,buggy
0,0,0,0,1,0,1,1,12,0,1,8,58,0.051724,714,483,38,buggy
0,0,0,0,1,0,1,1,11,0,4,57,302,0.056291,187,138.5,135,buggy
2,0.00495,0.00495,0,0,0,1,1,22,0,2,23,28,0.571429,23,19,202,clean
2,0.025316,0,1,1,0,1,1,19,0,1,125,288,0.288194,71,53.5,79,buggy
25,0.046512,0.147287,3,5,124,9,4,18,1,1,293,302,0.006623,121,121,129,clean
34,0.4,0.025,2,1,46,2,2,12,46,3,212,210,0.061905,221,221,80,buggy
8,0.012987,0.012987,1,3,0,3,1,10,0,1,2,5,1,583,583,308,buggy
2,0,0.028986,0,2,486,3,2,17,21,4,226,1066,0.124765,42,42,69,clean
2,0.00885,0.00885,0,1,111,4,3,10,5,1,282,487,0.002053,44,44,113,clean
2,0.008696,0.008696,0,0,0,1,1,21,0,7,1736,7872,0.132495,145,57.666668,115,clean
0,0,0,0,1,0,1,1,8,0,2,122,1710,0.001754,137,88.5,98,buggy
6,0.012788,0.002558,0,2,22,2,2,12,22,1,1,1,1,2,2,391,buggy
2,0.014493,0.014493,0,4,608,4,3,10,544,7,817,2007,0.159442,43,43,69,buggy
3,0.002294,0.004587,0,3,656,6,4,20,35,3,47,59,0.491525,128,79.5,436,buggy
3,0.000546,0.000273,0,21,633,25,10,20,2,4,40,96,0.364583,36,36,3663,buggy
5,0.012019,0,0,3,426,5,3,10,75,2,287,282,0.170213,309,273,416,buggy
2,0.018182,0.018182,0,2,426,3,3,13,0,1,30,30,0.066667,392,302,55,clean
11,0.007065,0,2,0,0,1,1,11,0,1,1,1,1,211,211,1557,clean
38,0.215517,0.112069,4,6,124,11,5,12,0,3,295,304,0.013158,122,122,116,buggy
2,0.000907,0.000907,0,3,1,3,1,11,0,2,2,146,0.006849,1123,816,1102,buggy
3,0.024194,0,0,9,720,9,5,10,21,2,337,351,0.150997,103,55,124,buggy
0,0,0,0,1,0,1,1,8,0,2,122,1710,0.001754,137,88.5,39,buggy
2,0.00076,0.00076,0,12,639,17,9,10,1,7,817,2007,0.159442,43,43,1315,buggy
1,0,0.000874,0,8,547,17,7,14,0,2,17,16,0.0625,310,274,1144,clean
2,0.004739,0.004739,0,4,496,6,3,17,176,5,227,243,0.341564,98,50.5,211,buggy
2,0.003676,0,1,1,0,1,1,18,0,1,10,65,0.092308,195,195,544,buggy
36,0.013636,0.013636,1,7,509,8,5,8,19,1,46,234,0.32906,438,348,1320,buggy
3,0.076923,0,0,1,0,1,1,13,0,1,2,6,0.166667,28,28,39,buggy
4,0.010471,0.010471,0,2,2,3,2,10,1,2,2,296,0.016892,221,172.5,191,clean
4,0.051282,0.051282,0,2,0,2,1,16,0,1,4,18,0.111111,3,3,39,buggy
1,0.00565,0,0,2,593,2,2,19,593,1,125,288,0.288194,71,53.5,177,buggy
2,0.022222,0.022222,0,1,0,1,1,10,0,7,817,2007,0.159442,43,43,45,buggy
129,0.296569,0.019608,7,1,0,1,1,13,0,1,3,3,0.333333,759,759,408,buggy
29,0.103093,0.046392,5,1,29,2,2,9,29,1,2,2,1,893,662,194,clean
17,0.010593,0.025424,2,4,286,6,3,15,23,2,3,10,0.7,13,13,472,buggy
94,0.565657,0.383838,1,2,121,5,3,18,9,3,294,601,0.016639,116,116,99,buggy
4,0.001466,0.001466,1,7,614,11,5,10,8,6,277,499,0.330661,26,26,1364,buggy
7,0.004975,0.006633,1,4,249,6,4,9,115,1,1,1,1,1,1,603,clean
10,0.007391,0,0,5,422,8,4,21,164,2,3,6,0.833333,40,22.5,1353,buggy
4,0.0625,0.0625,1,1,0,1,1,12,0,1,8,22,0.227273,364,364,32,buggy
0,0,0,0,0,0,1,1,7,0,1,1,4,0.25,553,322,39,clean
14,0.054264,0.054264,0,3,30,5,3,17,1,1,292,301,0.006645,119,119,129,buggy
2,0.006024,0.006024,0,1,42,2,2,21,42,7,1736,7872,0.132495,145,57.666668,166,clean
4,0.003745,0.003745,1,4,116,5,3,11,15,1,15,20,0.25,809,578,534,buggy
103,0.053571,0.559524,3,4,263,6,3,19,9,1,3,3,1,26,14.333333,168,buggy
0,0,0,0,1,0,1,1,8,0,2,122,1710,0.001754,137,88.5,22,buggy
2,0.02439,0.02439,0,1,42,2,2,21,42,7,1736,7872,0.132495,145,57.666668,41,clean
26,0.136842,0.136842,2,2,144,4,3,14,9,1,2,4,0.5,1077,846,95,clean
1,0.000438,0,0,24,415,29,6,18,186,3,3,5,0.8,196,160,2285,buggy
24,0.007519,0.082707,0,3,305,4,4,10,4,6,277,499,0.330661,26,26,266,buggy
25,0.046512,0.147287,3,2,18,5,3,18,1,1,293,302,0.006623,121,121,129,clean
3,0.020408,0,0,2,31,2,2,9,31,1,2,4,0.5,635,404,147,buggy
2,0.034483,0.034483,0,1,672,2,2,21,672,7,1736,7872,0.132495,145,57.666668,29,clean
30,0.035176,0.002513,4,1,0,1,1,10,0,7,817,2007,0.159442,43,43,796,buggy
9,0.01374,0,2,1,0,1,1,9,0,1,3,3,0.333333,9,9,655,buggy
2,0,0.002632,0,8,636,12,7,17,14,4,226,1066,0.124765,42,42,760,clean
0,0,0,0,1,0,1,1,8,0,2,122,1710,0.001754,137,88.5,39,buggy
3,0,0.053571,0,0,0,1,1,17,0,4,226,1066,0.124765,42,42,56,clean
2,0.020833,0.020833,0,0,51,2,2,12,51,1,2,22,0.045455,1049,742,48,clean
2,0.001608,0.001608,0,8,441,10,4,16,153,2,6,23,0.521739,38,29,622,buggy
0,0,0,0,0,0,1,1,17,0,2,261,443,0.002257,8,8,111,clean
5,0.05618,0,0,2,298,2,2,10,298,2,287,282,0.170213,309,273,89,buggy
