Commit Hash,Modify Lines,Add Lines,Delete Lines,Distribution modified Lines,Modify Files,Directories,SumOfSourceRevision,SumOfDeveloper,LSTM C.E.,bug
57a614dee43f72051c50d9b8af5b31b99cfddb78,10,5,5,0,1,1,3,1,3.058111429,0
5313a492f7c733be367c2738af14bc566a6090e1,26,13,13,5,4,1,20,11,5.360061646,0
55f3e6dfe72ccb86b23813946693daffb84a97cd,43,30,13,0,4,2,16,13,5.216366768,0
c4acebd5d3911bc208c3fd919a8cf7894b371c00,304,203,101,23,7,5,34,18,18.93175507,0
f1457a15c3f1c32ff9a382ba81ec3ddafd76f326,63,31,32,1,2,2,13,5,5.719826698,0
575ffbf262766942fbdaf8103547f1ce5df84add,2,1,1,0,1,1,9,5,3.095655203,0
3a4a559367497c84b93355b858e03ed6ceef889c,7,1,6,0,1,1,12,2,3.176216602,0
d0454b854abdb86150d844d29bd6546dde0e8c3c,5,1,4,1,1,1,13,6,3.095655203,0
3ada7eb48e0599b507024b1b6c10be3b7cceb63f,593,418,175,7,8,1,22,17,18.41690063,0
f40a657f892066f54b105c4ec559779343a70701,708,706,2,15,21,6,94,30,17.44152641,0
59ec9ccbd569b33a3281a7adc2153e244e4f8a5d,6,3,3,2,1,1,8,4,3.361510038,0
7f76973edc8e9e72bd404484585c11f156766926,67,38,29,12,1,1,4,2,9.227266312,0
9f9cb8c6ae655fb86c01c7a45fdda14bbfeb878c,42,42,0,1,1,1,3,2,8.8172369,0
fe80412708e0bcd5e244e9e8f8b0d17ef05fcab4,64,62,2,2,2,2,4,2,11.00002956,0
2dd1ddc35d0d11de6e99d6f22045c63f29df1928,4,2,2,0,1,1,3,1,3.14345932,0
f4d2c97ad3a7fa41934251e6fd727639ed1bd300,26,3,23,2,1,1,4,2,3.449310303,0
c81437cd7a5fb1c4d92bfde5e3a610a37b5f5ff7,10,8,2,0,1,1,2,1,3.751111269,0
5a9d2d146cd659b7284a65d617d7362b1ce7a5bc,5,2,3,0,1,1,2,1,3.005204678,0
0ca1fd2fa8d8cc7b2e9cdad20485ece626f44a0c,2,1,1,0,1,1,7,3,3.212377787,0
9f4d15e4df90d8555bbb5e0e17aaa3a3b924d3df,6,6,0,0,1,1,3,1,3.353151321,0
