@relation incubator-dolphinscheduler_developer_last_label

@attribute 'Modify Lines' numeric
@attribute 'Add Lines' numeric
@attribute 'Delete Lines' numeric
@attribute 'Distribution modified Lines' numeric
@attribute numOfBIC numeric
@attribute fileAge numeric
@attribute SumOfSourceRevision numeric
@attribute SumOfDeveloper numeric
@attribute CommitHour numeric
@attribute AGE numeric
@attribute numOfSubsystems numeric
@attribute numOfDirectories numeric
@attribute numOfFiles numeric
@attribute NUC numeric
@attribute developerExperience numeric
@attribute REXP numeric
@attribute LT numeric
@attribute isBuggy {clean,buggy}

@data
2,0.006667,0.006667,0,0,1,4,2,16,0,3,6,6,0.166667,14,14,150,clean
15,0.010974,0.009602,4,0,11,10,8,17,0,5,14,17,0.294118,9,9,729,clean
7,0.016447,0.006579,1,6,37,34,10,16,4,2,2,2,1,43,43,304,clean
56,0.252252,0.252252,1,2,10,13,6,16,3,4,22,61,0.114754,53,53,111,clean
73,0.491071,0.160714,4,2,2,7,2,16,1,3,6,6,0.666667,12,12,112,clean
7,0.008081,0.006061,3,1,1,4,4,11,0,4,11,27,0.037037,11,11,495,clean
3,0.018182,0,1,6,38,23,10,14,2,5,13,33,0.212121,2,2,165,buggy
11,0.017915,0,10,0,1,5,5,11,0,4,11,26,0.038462,21,21,614,clean
22,0.205882,0.009804,2,0,3,6,5,17,0,4,22,61,0.016393,7,7,102,clean
6,0.026432,0,0,6,7,16,6,20,0,4,11,12,0.083333,19,19,227,clean
34,0.069307,0.042904,1,3,47,24,10,18,0,2,2,2,1,27,27,303,clean
16,0.064,0,2,1,6,7,6,16,3,4,22,61,0.114754,53,53,250,clean
7,0.013133,0,0,2,34,21,11,11,2,5,12,18,0.333333,1,1,533,clean
49,0.133333,0.070833,2,1,0,1,1,13,0,3,6,7,0.285714,9,9,240,buggy
9,0.073171,0.036585,2,1,13,10,7,15,0,4,22,61,0.065574,1,1,82,clean
13,0.090909,0.077922,3,1,0,1,1,14,0,2,4,7,0.571429,65,65,77,buggy
96,0.261484,0.077739,10,3,10,9,7,18,0,3,4,11,0.090909,14,14,283,clean
13,0.024952,0,1,1,2,6,6,17,0,4,21,56,0.232143,4,4,521,clean
9,0.04,0,0,1,0,3,3,17,0,3,6,7,0.285714,6,6,225,clean
