@relation nutch_Add_LSTM_metric-weka.filters.unsupervised.attribute.Remove-R1

@attribute 'Modify Lines' numeric
@attribute 'Add Lines' numeric
@attribute 'Delete Lines' numeric
@attribute 'Distribution modified Lines' numeric
@attribute 'Modify Files' numeric
@attribute Directories numeric
@attribute SumOfSourceRevision numeric
@attribute SumOfDeveloper numeric
@attribute 'LSTM C.E.' numeric
@attribute bug {1,0}

@data
72,44,28,5,3,3,30,10,7.560309,1
6,5,1,1,1,1,27,11,5.39567,0
32,27,5,5,3,3,51,19,6.839278,1
9,5,4,0,1,1,5,4,4.856533,0
2,1,1,0,1,1,20,11,4.555335,0
53,39,14,1,5,3,20,11,10.862668,0
3,2,1,1,1,1,1,1,4.555335,0
9,3,6,1,2,2,75,16,4.616623,0
18,18,0,3,1,1,8,5,5.837523,0
16,12,4,1,1,1,14,8,5.144506,0
4,1,3,1,1,1,5,2,4.555335,0
8,8,0,3,1,1,1,1,4.90199,0
5,4,1,0,1,1,8,3,4.793334,0
328,286,42,12,27,17,237,139,15.882957,0
20,9,11,6,1,1,31,10,5.360058,0
2,1,1,0,1,1,1,1,4.697241,0
3,1,2,1,1,1,4,2,4.599025,0
43,30,13,1,3,2,53,25,6.778057,0
2,2,0,0,2,2,31,12,4.679202,0
3,1,2,0,1,1,17,9,4.672627,0
357,193,164,20,9,7,195,77,14.694204,0
4,1,3,1,1,1,19,12,4.486429,0
90,65,25,3,1,1,15,8,10.723275,0
6,6,0,0,1,1,17,7,5.134892,0
8,5,3,1,1,1,18,10,4.693492,0
319,151,168,40,2,2,28,13,15.325356,0
42,21,21,4,2,2,22,17,8.022922,0
23,13,10,0,2,2,19,14,5.314562,1
18,18,0,5,3,3,12,8,6.080888,0
28,20,8,2,3,3,21,13,6.331836,0
7,5,2,0,1,1,53,14,4.730295,0
8,7,1,3,1,1,11,7,5.160434,0
7,2,5,2,1,1,53,17,4.697954,0
2,1,1,0,1,1,2,2,4.464106,0
19,14,5,3,3,3,47,24,5.422019,0
476,454,22,16,8,6,165,50,16.386457,1
10,8,2,2,2,2,18,11,5.18329,0
32,28,4,4,1,1,13,6,7.246766,0
8,8,0,3,1,1,2,2,4.90199,0
9,3,6,0,1,1,15,9,4.583452,0
3,3,0,0,1,1,5,4,4.599025,0
5,4,1,1,1,1,29,12,4.555335,0
6,2,4,1,1,1,46,16,4.791613,0
16,7,9,4,1,1,49,17,5.364998,0
408,389,19,12,8,3,145,45,16.638119,0
37,18,19,2,1,1,28,10,6.326832,0
44,35,9,1,1,1,4,3,6.8948,0
8,2,6,0,2,2,36,15,4.693447,0
22,14,8,3,1,1,33,13,5.464033,0
29,24,5,5,2,1,17,10,6.12681,0
29,24,5,5,2,1,26,10,6.12681,0
9716,5499,4217,375,127,50,1418,802,19.541615,1
1093,920,173,97,45,27,403,221,18.679792,0
26,15,11,2,1,1,16,6,5.764606,0
8,6,2,0,1,1,9,4,4.830523,0
2,1,1,0,1,1,1,1,4.464106,0
8,8,0,1,1,1,4,1,4.991895,0
142,86,56,6,2,1,31,13,11.8341,0
5,1,4,1,1,1,11,7,4.545355,0
1,1,0,0,1,1,30,8,4.545355,0
103,88,15,2,6,4,52,30,11.563502,0
28,25,3,4,2,2,53,24,7.595217,0
150,75,75,16,3,1,43,26,10.529631,0
112,57,55,2,1,1,17,9,9.874743,0
