Commit Hash,Modify Lines,Add Lines,Delete Lines,Distribution modified Lines,Modify Files,Directories,SumOfSourceRevision,SumOfDeveloper,LSTM C.E.,bug
ed71b35e755090b1ae841e0e9888c0f61386d050,58,51,7,4,3,2,121,25,9.334053993,1
010624d9296e89f2fe241e03a6bfc344426bb726,15,9,6,1,1,1,1,1,3.740241766,0
dd353089c427523a91e6ef64da9352d8ad29ea2d,360,360,0,1,1,1,3,2,16.29009056,0
b4e68bd554acbe8a9fc30a81a2291306d1e78968,890,866,24,12,12,6,13,12,18.04495239,0
5594f294fd630503f27786166d65fd2d76898c9c,4,2,2,0,1,1,4,1,3.619277239,0
1d68627120b15bed726f666912c784a30843e10c,1,1,0,0,1,1,1,1,3.500341177,0
d00f60155ce71131ec1969e07dde3bf4d8c65460,1,1,0,0,1,1,1,1,3.541241646,0
662f96a6d5591ca65bbd46df8fdfacdff51d83b6,16,4,12,1,1,1,2,1,3.66673708,0
c01d88be90a82a50f87382d554fdc39f64b64176,1800,1800,0,1,1,1,9,4,15.74338818,0
8badf9af28693b52293fc8cee7a00c85a552ea86,5,4,1,1,1,1,69,2,3.627629995,0
4c6a8a657ce02a65398942ce51942cdd8110df88,30,27,3,1,1,1,80,11,5.814322948,1
6781fc5d0e75854e182afb15d6f0f1ea1b8c1ece,24,16,8,1,1,1,4,3,4.812084675,0
3e4b354ccff1453c612a8563ceb2f32378e86601,25,7,18,0,6,2,37,15,3.944770098,0
01fdb705c4ca0737949c4fd323b62736c27716a8,15,12,3,0,1,1,1,1,4.31789875,1
4cb1c7cf9324cf825f0981dd18c71fc036985eed,35,19,16,2,1,1,29,7,4.755126953,0
3e167cc2f957a9e012546917df19b9d82e6cf207,23,12,11,3,1,1,7,4,4.961344242,0
92062bab12f6b4c84e265f92a52b1a4fc0b097db,22,10,12,1,1,1,8,5,4.216380119,0
afff843f451932a79f67dfeb385259b360cd4664,6,3,3,0,3,2,48,17,3.600322962,0
d8d551e1d656b69bd2e635a34e6c0d102682562a,11,4,7,0,1,1,2,2,3.811616182,1
7753124d05ef0b390853bb775afd25a0694bc3d1,27,15,12,5,5,5,61,20,5.004394531,0
4abc7548755b0f82560e2e607a49d5dd2e09c07a,6,4,2,2,2,2,11,5,3.806152344,0
3e54b0477b1663a3c72fe0be24f156801bf14603,12,5,7,1,1,1,11,5,3.968400955,0
e1ce4824186f62f5fb05a407da79b8da61bc87a4,8,4,4,3,1,1,20,8,3.815117121,0
522fd4996b6314caa05d16590f3896bf750eb83e,17,8,9,0,1,1,130,5,4.703392506,0
a577b37f8500734b84c2824237eca1e5888c1627,5,4,1,0,1,1,13,6,3.742964983,0
7da88ad2467a9a82f1c7df008b244e82f4d664b8,72,54,18,5,1,1,30,2,7.361072063,1
72fd40785c0e83972a4daf2ee941fd0cdd1f7c96,2190,1095,1095,662,201,45,1639,794,13.25135517,0
ebebbb31fb949ffbe515edc8bf5810aa2ae9a3b2,22,16,6,2,2,2,33,9,4.8405056,1
9061c4a1572561a6246ac3cc7cf76831d97220b1,28,2,26,0,1,1,10,5,3.652025223,0
d2706f74b2b3f69b5c40a9416c26a77655a44a23,56,28,28,2,2,2,23,9,6.580756187,1
05bed49a7397eb15a21f58518d2f6d8f9a362899,308,141,167,3,1,1,8,3,15.59690285,0
099fbbcea6a6ae3958f1abeadf5d8cfc6799880a,36,28,8,3,1,1,7,2,5.746269226,0
196d9327284cdac1a5dc162181e417afd8454da1,13,10,3,1,1,1,95,2,3.777035236,0
9f14993d9e260a1277311fad78d13bd6f4c8c95f,30,17,13,1,1,1,9,6,4.216498852,0
ec49133c5ebdcd3236fccd59718c919f5d840f7f,133,128,5,4,1,1,13,5,10.50041103,0
96c3364b18613354fc62f75420d54fb2b668b0f0,90,51,39,10,4,4,70,17,11.18399906,0
6f968d6c770a5dcc08c76e9a396e151ddf41ffb9,59,37,22,14,1,1,1,1,6.27538538,0
5fd6c31241413a0cc8fb0e234fb542b05db13778,11,1,10,0,8,3,51,25,3.452488899,0
008269fb9c2e4286ac74b857017b9e80103ac7e3,15,7,8,1,1,1,1,1,3.791785479,1
3d03e2f4b31d7514a76f918dc6eb3308f599a3c1,28,12,16,0,1,1,21,8,4.654434204,0
68c8c5f45fd0ddf9594941232ab2d7a35c74e619,223,19,204,4,1,1,1,1,4.861447334,0
4397bfb42b8f180f533f397599bbcb02b1095de5,10,8,2,2,1,1,41,9,4.284860611,0
d8c96ecc647c5f7fc736be8752b0434477e52fd1,192,115,77,4,2,2,16,6,15.32651424,0
755c943277ff6b801695be0d34b81b0d9d24bfea,26,22,4,3,1,1,20,5,5.99504137,0
