@relation cordova-android_Concat_Single_LSTM_Metric_last_label

@attribute 'Modify Lines' numeric
@attribute 'Add Lines' numeric
@attribute 'Delete Lines' numeric
@attribute 'Distribution modified Lines' numeric
@attribute numOfBIC numeric
@attribute fileAge numeric
@attribute SumOfSourceRevision numeric
@attribute SumOfDeveloper numeric
@attribute CommitHour numeric
@attribute AGE numeric
@attribute numOfSubsystems numeric
@attribute numOfDirectories numeric
@attribute numOfFiles numeric
@attribute NUC numeric
@attribute developerExperience numeric
@attribute REXP numeric
@attribute LT numeric
@attribute 'LSTM C.E.' numeric
@attribute isBuggy {clean}

@data
19,0.046154,0.002564,2,0,3,2,2,13,3,1,1,1,1,17,10.5,390,17.66498,clean
2,0.007042,0.007042,0,0,0,1,1,15,0,1,1,1,1,1,1,142,17.948898,clean
2,0.007042,0.007042,0,0,687,9,4,15,90,1,1,1,1,1,1,142,17.948898,clean
3,0.005566,0,0,0,333,4,3,11,0,1,1,1,1,14,7.5,539,17.960205,clean
1,0.002123,0,0,0,0,1,1,12,0,1,1,1,1,1,1,471,17.997049,clean
3,0.01083,0,1,0,306,4,4,14,56,1,2,4,0.25,1,1,277,17.857676,clean
5,0.010899,0.002725,2,0,306,4,4,14,56,1,2,4,0.25,1,1,367,17.857674,clean
2,0.007042,0.007042,0,0,223,5,2,10,0,1,1,1,1,9,9,142,17.948896,clean
2,0.007042,0.007042,0,0,246,6,2,10,22,1,1,1,1,13,13,142,17.948898,clean
4,0.040816,0.040816,1,0,0,1,1,16,0,1,1,1,1,1,1,49,17.948477,clean
2,0.007042,0.007042,0,0,180,2,2,11,180,1,1,1,1,6,6,142,17.948896,clean
6,0.024896,0,1,0,0,1,1,6,0,1,1,2,0.5,1,1,241,17.874878,clean
3,0.008451,0,0,0,16,2,2,13,16,1,2,6,0.5,2,2,355,17.819338,clean
58,0.028011,0.134454,6,0,273,10,3,11,0,1,2,4,0.25,15,8.5,357,17.832716,clean
19,0.046154,0.002564,2,0,0,1,1,20,0,1,1,1,1,1,1,390,17.664978,clean
5,0.014286,0,0,0,0,1,1,17,0,1,1,1,1,1,1,350,17.948639,clean
15,0,0.05137,0,0,0,1,1,13,0,1,2,4,0.5,1,1,292,17.832718,clean
5,0.010899,0.002725,2,0,249,3,3,23,249,1,2,4,0.75,1,1,367,17.857674,clean
11,0.113636,0.011364,1,0,192,2,2,10,192,1,1,2,1,10,10,88,17.874878,clean
1,0.001931,0,0,0,238,2,1,9,238,1,2,6,0.5,12,12,518,17.819336,clean
6,0.072464,0.014493,0,0,56,2,2,14,56,1,2,4,0.25,1,1,69,17.857674,clean
58,0.028011,0.134454,6,0,273,9,3,13,51,1,2,4,0.5,1,1,357,17.832718,clean
2,0.007042,0.007042,0,0,222,4,2,11,39,1,1,1,1,8,8,142,17.948898,clean
11,0.005348,0.024064,4,0,0,2,2,11,0,1,2,4,0.25,15,8.5,374,17.832718,clean
5,0.027473,0,1,0,0,1,1,13,0,1,2,6,0.5,2,2,182,17.819336,clean
5,0.027473,0,1,0,238,2,1,9,238,1,2,6,0.5,12,12,182,17.819336,clean
2,0.003252,0,0,0,511,3,2,10,273,1,1,1,1,1,1,615,17.898201,clean
2,0.007042,0.007042,0,0,596,8,3,15,266,1,1,1,1,1,1,142,17.948898,clean
6,0.005566,0.005566,1,0,13,2,1,16,13,1,1,1,1,2,2,539,17.964792,clean
2,0.008299,0,1,0,45,2,2,13,45,1,2,6,0.5,2,2,241,17.819338,clean
6,0.024691,0,1,0,192,4,2,10,0,1,1,2,0.5,11,11,243,17.874878,clean
11,0.113636,0.011364,1,0,0,1,1,6,0,1,1,2,0.5,1,1,88,17.874876,clean
2,0.007042,0.007042,0,0,183,3,2,10,2,1,2,2,1,7,7,142,17.817892,clean
15,0,0.05137,0,0,0,2,2,11,0,1,2,4,0.25,15,8.5,292,17.832716,clean
2,0.003263,0,1,0,0,1,1,13,0,1,2,6,0.5,2,2,613,17.819334,clean
6,0.014164,0.002833,0,0,160,7,2,10,12,1,2,2,1,7,7,353,17.817892,clean
2,0.002457,0.002457,0,0,242,4,4,14,56,1,2,4,0.25,1,1,407,17.857674,clean
1,0.001931,0,0,0,0,1,1,13,0,1,2,6,0.5,2,2,518,17.819336,clean
9,0.09375,0,7,0,0,1,1,13,0,1,2,6,0.5,2,2,96,17.819336,clean
2,0.008097,0,1,0,193,5,2,9,0,1,2,6,0.5,12,12,247,17.819336,clean
9,0.09375,0,7,0,238,2,1,9,238,1,2,6,0.5,12,12,96,17.819336,clean
2,0.001927,0.001927,0,0,289,4,2,11,0,1,2,4,0.25,15,8.5,519,17.832718,clean
8,0.009634,0.00578,0,0,807,5,3,15,517,1,1,1,1,1,1,519,17.882132,clean
