@relation cayenne_Line_Single_LSTM_Metric_last_label

@attribute 'Modify Lines' numeric
@attribute 'Add Lines' numeric
@attribute 'Delete Lines' numeric
@attribute 'Distribution modified Lines' numeric
@attribute numOfBIC numeric
@attribute fileAge numeric
@attribute SumOfSourceRevision numeric
@attribute SumOfDeveloper numeric
@attribute CommitHour numeric
@attribute AGE numeric
@attribute numOfSubsystems numeric
@attribute numOfDirectories numeric
@attribute numOfFiles numeric
@attribute NUC numeric
@attribute developerExperience numeric
@attribute REXP numeric
@attribute LT numeric
@attribute 'LSTM C.E.' numeric
@attribute isBuggy {clean,buggy}

@data
2,0.002725,0.002725,0,2,741,5,3,22,265,30,360,3113,0.11982,1,1,367,8.695129,clean
9,0,0.070866,1,3,205,3,2,23,0,1,3,6,0.666667,3,3,127,3.199686,buggy
3,0.031915,0,0,1,148,5,2,16,0,1,3,4,0.25,466,322,94,4.587115,clean
2,0.009615,0.009615,0,1,41,4,3,22,25,30,360,3113,0.11982,1,1,104,8.695129,clean
86,0.168142,0.212389,3,1,0,1,1,17,0,1,18,96,0.197917,149,149,226,5.992777,buggy
6,0.056604,0.056604,0,1,0,1,1,13,0,3,45,135,0.007407,52,52,53,12.315005,buggy
10,0.009506,0.009506,4,2,683,2,1,17,683,5,14,40,0.55,524,220.5,526,2.588001,buggy
2,0.005917,0.005917,0,0,0,1,1,22,0,30,360,3113,0.11982,1,1,169,8.695129,clean
2,0.010204,0.010204,0,0,0,1,1,22,0,30,360,3113,0.11982,1,1,98,8.695129,clean
84,0.031008,0.050388,13,2,36,2,1,18,36,1,3,6,0.5,96,96,1032,3.800358,buggy
2,0.009009,0.009009,0,1,788,2,2,22,788,30,360,3113,0.11982,1,1,111,8.695129,clean
2,0.001949,0.001949,0,5,769,8,4,22,175,30,360,3113,0.11982,1,1,513,8.695129,clean
17,0.078313,0.024096,5,4,426,9,4,12,117,2,3,5,0.8,4,4,166,4.099008,buggy
6,0.018519,0.018519,1,1,14,2,2,12,14,12,53,103,0.135922,134,134,162,4.769564,clean
13,0.02439,0.081301,4,1,1,2,1,11,1,1,4,10,0.5,82,82,123,7.293383,clean
2,0,0.012422,0,2,134,4,2,12,24,10,37,99,0.191919,277,277,161,1.813493,clean
16,0.028986,0.202899,1,2,14,2,1,20,14,1,15,15,0.266667,13,13,69,8.5337,buggy
6,0.058824,0.058824,1,1,7,2,1,16,7,2,9,59,0.016949,163,163,51,3.800358,clean
5,0.022346,0.005587,0,1,0,2,1,16,0,1,1,1,1,3,3,179,8.61861,clean
2,0.002732,0.002732,0,4,826,6,2,22,467,30,360,3113,0.11982,1,1,366,8.695129,clean
2,0.025,0.025,0,0,0,1,1,22,0,30,360,3113,0.11982,1,1,40,8.695129,clean
2,0.009174,0.009174,0,0,419,2,2,22,419,30,360,3113,0.11982,1,1,109,8.695129,clean
8,0.125,0.075,0,2,142,3,1,12,2,3,8,18,0.222222,230,230,40,6.120104,clean
2,0.012048,0.012048,0,0,0,1,1,22,0,30,360,3113,0.11982,1,1,83,8.695129,clean
9,0.078947,0.039474,2,1,0,1,1,16,0,1,5,13,0.076923,104,104,76,9.703514,buggy
2,0.003731,0.003731,0,2,132,3,2,22,7,30,360,3113,0.11982,1,1,268,8.695129,clean
