@relation camel_Master_NGLP_Metric_last_label

@attribute 'Modify Lines' numeric
@attribute 'Add Lines' numeric
@attribute 'Delete Lines' numeric
@attribute 'Distribution modified Lines' numeric
@attribute numOfBIC numeric
@attribute fileAge numeric
@attribute SumOfSourceRevision numeric
@attribute SumOfDeveloper numeric
@attribute CommitHour numeric
@attribute AGE numeric
@attribute numOfSubsystems numeric
@attribute numOfDirectories numeric
@attribute numOfFiles numeric
@attribute NUC numeric
@attribute developerExperience numeric
@attribute REXP numeric
@attribute LT numeric
@attribute NGLP numeric
@attribute isBuggy {buggy,clean}

@data
3,0.076923,0,0,1,0,1,1,13,0,1,2,6,0.166667,28,28,39,0,buggy
4,0.010471,0.010471,0,2,2,3,2,10,1,2,2,296,0.016892,221,172.5,191,0.127875,clean
4,0.051282,0.051282,0,2,0,2,1,16,0,1,4,18,0.111111,3,3,39,44.753565,buggy
1,0.00565,0,0,2,593,2,2,19,593,1,125,288,0.288194,71,53.5,177,0,buggy
2,0.022222,0.022222,0,1,0,1,1,10,0,7,817,2007,0.159442,43,43,45,0,buggy
129,0.296569,0.019608,7,1,0,1,1,13,0,1,3,3,0.333333,759,759,408,44.628225,buggy
29,0.103093,0.046392,5,1,29,2,2,9,29,1,2,2,1,893,662,194,18.160404,clean
17,0.010593,0.025424,2,4,286,6,3,15,23,2,3,10,0.7,13,13,472,47.124988,buggy
94,0.565657,0.383838,1,2,121,5,3,18,9,3,294,601,0.016639,116,116,99,379.343475,buggy
4,0.001466,0.001466,1,7,614,11,5,10,8,6,277,499,0.330661,26,26,1364,0,buggy
7,0.004975,0.006633,1,4,249,6,4,9,115,1,1,1,1,1,1,603,3.228164,clean
10,0.007391,0,0,5,422,8,4,21,164,2,3,6,0.833333,40,22.5,1353,29.206626,buggy
4,0.0625,0.0625,1,1,0,1,1,12,0,1,8,22,0.227273,364,364,32,3.550709,buggy
0,0,0,0,0,0,1,1,7,0,1,1,4,0.25,553,322,39,0,clean
14,0.054264,0.054264,0,3,30,5,3,17,1,1,292,301,0.006645,119,119,129,-0,buggy
2,0.006024,0.006024,0,1,42,2,2,21,42,7,1736,7872,0.132495,145,57.666668,166,0,clean
4,0.003745,0.003745,1,4,116,5,3,11,15,1,15,20,0.25,809,578,534,19.698039,buggy
103,0.053571,0.559524,3,4,263,6,3,19,9,1,3,3,1,26,14.333333,168,10.018548,buggy
0,0,0,0,1,0,1,1,8,0,2,122,1710,0.001754,137,88.5,22,-0,buggy
2,0.02439,0.02439,0,1,42,2,2,21,42,7,1736,7872,0.132495,145,57.666668,41,0,clean
26,0.136842,0.136842,2,2,144,4,3,14,9,1,2,4,0.5,1077,846,95,-0,clean
1,0.000438,0,0,24,415,29,6,18,186,3,3,5,0.8,196,160,2285,3.604328,buggy
24,0.007519,0.082707,0,3,305,4,4,10,4,6,277,499,0.330661,26,26,266,0,buggy
25,0.046512,0.147287,3,2,18,5,3,18,1,1,293,302,0.006623,121,121,129,0,clean
3,0.020408,0,0,2,31,2,2,9,31,1,2,4,0.5,635,404,147,369.336913,buggy
